id,publicId,title,description,date,link,videoTypeId
520056,457050-1,President Trump Remarks on Missile Defense Review,"President Trump traveled to the Pentagon to announce the results of the administration&rsquo;s missile defense review. At the start, the president addressed the ongoing partial government shutdown and offered his condolences to the families of the four Americans killed in Syria. Acting Defense Secretary Patrick Shanahan and Vice President Mike Pence provided introductory remarks.",2019-01-17,https://www.c-span.org/video/?457050-1/president-trump-remarks-missile-defense-review,Speech
523349,458846-1,Border Security National Emergency Resolution Veto,"President Trump signed the first veto of his presidency by rejecting a resolution that would have terminated his national emergency declaration for the U.S.-Mexico border. Vice President Pence, Homeland Security Secretary Kirstjen Nielsen, Attorney General William Barr, several sheriffs from across the nation, and parents of victims killed by undocumented individuals joined the president in the Oval Office for the signing.",2019-03-15,https://www.c-span.org/video/?458846-1/border-security-national-emergency-resolution-veto,Speech
523369,458863-1,"President Trump Rally in Grand Rapids, Michigan","President Trump held his first campaign rally since Attorney General William Barr released a summary of Special Counsel Robert Mueller&rsquo;s report on Russian interference in the 2016 election. In his remarks, he covered a range of issues including the Mueller investigation, securing the border, and the economy. The president called the Mueller investigation &ldquo;the single greatest hoax in the history of politics in our country.&rdquo;",2019-03-28,https://www.c-span.org/video/?458863-1/president-trump-rally-grand-rapids-michigan,Speech
525133,459875-1,"President Trump Holds Rally in Green Bay, Wisconsin","President Trump held a campaign rally in Green Bay, Wisconsin. After offering condolences for victims of a shooting at a synagogue in California, the president talked about his administration&rsquo;s first two years and urged the crowd to vote for Republicans in the 2020 election. His press secretary, Sarah Sanders, also made a brief appearance at the rally during which she criticized media coverage of President Trump.",2019-04-27,https://www.c-span.org/video/?459875-1/president-trump-holds-rally-green-bay-wisconsin,Speech
525924,460357-1,President Trump Observes National Day of Prayer,"President Trump, Vice President Pence, and the first and second ladies hosted an event recognizing National Prayer Day in the White House&rsquo;s Rose Garden. They delivered remarks and heard prayers from a variety of faith leaders. There was also a musical performance by a church choir featuring Jonathan Cain, keyboardist for the band Journey.",2019-05-02,https://www.c-span.org/video/?460357-1/president-trump-observes-national-day-prayer,Speech
526012,460412-1,"President Trump Holds Rally in Panama City Beach, Florida","At a campaign rally in Panama City Beach, Florida, President Trump pledged $448 million disaster relief for Hurricane Michael recovery efforts, and talked about U.S. policy toward Venezuela.",2019-05-08,https://www.c-span.org/video/?460412-1/president-trump-holds-rally-panama-city-beach-florida,Speech
526565,460746-1,"President Trump Campaign Rally in Montoursville, Pennsylvania","President Trump held a campaign rally in Montoursville, Pennsylvania, where he was campaigning for Fred Keller, the Republican candidate for the state&rsquo;s 12th Congressional District. He encouraged voters to elect Mr. Keller, who spoke briefly at the rally. The president also talked about the economy, jobs, border security, and the possibility of changing his campaign slogan from &ldquo;Make America Great Again&rdquo; to &ldquo;Keep America Great.&rdquo;",2019-05-20,https://www.c-span.org/video/?460746-1/president-trump-campaign-rally-montoursville-pennsylvania,Speech
528091,461623-1,President Trump Remarks at Iowa Republican Dinner,President Trump delivered remarks at the Republican Party of Iowa annual dinner in West Des Moines.,2019-06-11,https://www.c-span.org/video/?461623-1/president-trump-remarks-iowa-republican-dinner,Speech
527518,461325-1,President Trump Announces Second Term Run,"President Trump announced he was running for a second term during a campaign rally at the Amway Center in Orlando. Vice President Pence made opening remarks, and first lady Melania Trump introduced the President. Outgoing press secretary Sarah Sanders also made brief remarks.",2019-06-18,https://www.c-span.org/video/?461325-1/president-trump-announces-term-run,Speech
529848,462643-1,"President Trump in Greenville, North Carolina","President Trump held a campaign rally in Greenville, North Carolina, that included Vice President Mike Pence. The president mentioned congressional efforts to have him impeached and criticized four female freshman minority House members he recently tweeted about: Democratic Representatives Ilhan Omar (MN), Rashida Tlaib (MI), Alexandria Ocasio-Cortez (NY), and Ayanna Pressley (MA).The president used language that some may find offensive.",2019-07-17,https://www.c-span.org/video/?462643-1/president-trump-greenville-north-carolina,Speech
530577,463078-1,"President Trump in Cincinnati, Ohio","President Trump held a campaign rally in Cincinnati, Ohio, at the U.S. Bank Arena. During his remarks, the president mentioned the previous night&rsquo;s Democratic debate and how much time the candidates spent criticizing former President Barack Obama. He also suggested that Democrats were the cause for blight and violence in America&rsquo;s inner cities.",2019-08-01,https://www.c-span.org/video/?463078-1/president-trump-cincinnati-ohio,Speech
531235,463428-1,"President Trump Rally in Manchester, New Hampshire","President Trump held a campaign rally in Manchester, New Hampshire at the SNHU Arena, He talked about such issues as the U.S.-Mexico border, the economy, China, and gun laws.",2019-08-15,https://www.c-span.org/video/?463428-1/president-trump-rally-manchester-hampshire,Speech
532162,463975-1,"President Trump in Fayetteville, North Carolina","President Trump held a rally in Fayetteville, North Carolina, one day before a special election in the state&rsquo;s 9th Congressional District.",2019-09-09,https://www.c-span.org/video/?463975-1/president-trump-fayetteville-north-carolina,Speech
533146,464555-1,Presidential Remarks on Religious Freedom,"President Trump, in New York City for the annual United Nations General Assembly, spoke about religious freedom. He announced the U.S. would pledge $25 million in aid to protect religious freedom, sites, and relics. U.S. Ambassador to the U.N. Kelly Knight Craft and Vice President Pence also spoke before the president.",2019-09-23,https://www.c-span.org/video/?464555-1/presidential-remarks-religious-freedom,Speech
533606,464799-1,President Trump Remarks at Hispanic Heritage Month Reception,"President Trump delivered remarks at a Hispanic Heritage Month reception at the White House. The president spoke about job and wage increases for Hispanic Americans, home ownership and border protection. Vice President Mike Pence also delivered brief remarks.",2019-09-27,https://www.c-span.org/video/?464799-1/president-trump-remarks-hispanic-heritage-month-reception,Speech
533667,464834-1,New Chair of Joint Chiefs of Staff General Milley Swearing-in Ceremony,"President Trump attended the swearing-in ceremony for his new Joint Chiefs of Staff xhair, General Mark Milley, at Joint Base Myer-Henderson Hall in Arlington, Virginia. Vice President Pence, outgoing Joint Chiefs of Staff General Dunford, and Defense Secretary Mark Esper also attended the ceremony.",2019-09-30,https://www.c-span.org/video/?464834-1/chair-joint-chiefs-staff-general-milley-swearing-ceremony,Speech
533651,464823-1,President Trump Campaign Rally in Minneapolis,"President Trump held a campaign rally in Minneapolis. He touted his administration&rsquo;s achievements, from border security and tax cuts, to reforming Veteran&rsquo;s Affairs and growing the economy. He also criticized the media and the Democrats, saying the latter&rsquo;s &ldquo;brazen attempt to overthrow our government will produce a backlash at the ballot box.&rdquo; He also made several mentions of former Vice President Joe Biden and his son Hunter for their involvement with Ukraine and China.",2019-10-10,https://www.c-span.org/video/?464823-1/president-trump-campaign-rally-minneapolis,Speech
534155,465124-1,"President Trump Rally in Lake Charles, Louisiana","President Trump held a campaign rally in Lake Charles, Louisiana. He touted his administration&rsquo;s achievements, which included building the U.S.-Mexico wall, economy, and the recently-announced partial trade deal with China. In his remarks he criticized the media and House Democrats, calling Speaker Nancy Pelosi (R-CA) &ldquo;Nervous Nancy.&rdquo;",2019-10-11,https://www.c-span.org/video/?465124-1/president-trump-rally-lake-charles-louisiana,Speech
534391,465272-1,"President Trump Rally in Dallas, Texas","President Trump held a campaign rally in Dallas at the American Airlines Center He touted his administration&rsquo;s achievements, including the recent announcement of a ceasefire with Turkey, in which he hopes to have a permanent deal done within five days. He also criticized the media and the Democrats, as well as expressing his disdain for House Speaker Nancy Pelosi (D-CA) and House Intelligence Chair Adam Schiff (D-CA).",2019-10-17,https://www.c-span.org/video/?465272-1/president-trump-rally-dallas-texas,Speech
534750,465506-1,President Trump Remarks on NASA Spacewalk,"President Trump spoke briefly from the White House Roosevelt Room with NASA&rsquo;s first all-female spacewalk crew, astronauts Christina Koch and Jessica Meir. After the short conversation, the president spoke briefly with the press, discussing the Ukraine investigation and the ceasefire in Turkey.",2019-10-18,https://www.c-span.org/video/?465506-1/president-trump-remarks-nasa-spacewalk,Speech
534797,465540-1,"President Trump Rally in Tupelo, Mississippi","President Trump held a campaign rally in Tupelo, Mississippi, ahead of the state&rsquo;s gubernatorial election. He offered his support for the Republican candidate, Lieutenant Governor Tate Reeves, who was running against Jim Hood, the Democratic attorney general. The president also talked about the impeachment inquiry, the economy, and some of the 2020 Democratic presidential candidates.",2019-11-01,https://www.c-span.org/video/?465540-1/president-trump-rally-tupelo-mississippi,Speech
534798,465541-1,"President Trump Rally in Lexington, Kentucky","President Trump held a campaign rally in Lexington, Kentucky. He was joined by Kentucky Governor Matt Bevin (R), a candidate for reelection, Senate Majority Leader Mitch McConnell (R-KY), and Senator Rand Paul (R-KY). Senator Paul in his remarks commented on the identity of the whistleblower whose complaint led to the impeachment inquiry of President Trump.",2019-11-04,https://www.c-span.org/video/?465541-1/president-trump-rally-lexington-kentucky,Speech
535680,466053-1,"President Trump Rally in Monroe, Louisiana","President Trump held a campaign rally in Monroe, Louisiana, a week and a half before the state&rsquo;s runoff election for governor. He offered his support for the Republican candidate, businessman Eddie Rispone (R), who was running against the incumbent, Governor John Bel Edwards (D). The president talked about the impeachment inquiry, the economy, and the U.S. southern border and immigration. He also talked about 2020 Democratic presidential candidate Senator Elizabeth Warren (D-MA), saying she is &ldquo;emerging from the ashes.&rdquo; Joining the president on stage for brief remarks were Eddie Rispone, Senators Bill Cassidy (R-LA) and John Kennedy (R-LA), Representative Ralph Abraham (R-LA), and Phil and Willie Robertson from &ldquo;Duck Dynasty.&rdquo;",2019-11-06,https://www.c-span.org/video/?466053-1/president-trump-rally-monroe-louisiana,Speech
535812,466133-1,"President Trump Remarks at ""Black Voices for Trump"" Rally","President Trump delivered remarks at a &ldquo;Black Voices for Trump&rdquo; rally in Atlanta. The president talked about his administration&rsquo;s record and touted jobs creation and low unemployment for African Americans. He also commented on the impeachment inquiry, House Intelligence Committee Chair Adam Schiff (D-CA) and House Speaker Nancy Pelosi (D-CA). Housing and Urban Development Secretary Ben Carson introduced the president.",2019-11-08,https://www.c-span.org/video/?466133-1/president-trump-remarks-black-voices-trump-rally,Speech
536163,466321-1,"President Trump Campaign Rally in Bossier City, Louisiana","President Trump held a campaign rally in Bossier City, Louisiana, two days before the state&rsquo;s gubernatorial runoff election. He offered his support for the Republican candidate, businessman Eddie Rispone (R), who was running against incumbent Governor John Bel Edwards (D). The president talked about the impeachment inquiry, calling it &ldquo;deranged.&rdquo; He also spoke about the economy, the military, and U.S. southern border wall. Joining the president on stage for brief remarks were Eddie Rispone, Louisiana Republican Senators Bill Cassidy and John Kennedy (R-LA), and U.S. Representative Ralph Abraham (R).",2019-11-14,https://www.c-span.org/video/?466321-1/president-trump-campaign-rally-bossier-city-louisiana,Speech
536512,466539-1,"President Trump Rally in Sunrise, Florida","President Trump held a campaign rally in Sunrise, Florida. It was his first rally there since changing his residency from New York to Florida in late October. He talked about the impeachment proceedings, telling his supporters that the Democrats are going after him for &ldquo;fighting for you,&rdquo; because he is &ldquo;exposing a rigged system.&rdquo; He also mentioned the economy, immigration and his recent visit to Walter Reed Medical Center.",2019-11-26,https://www.c-span.org/video/?466539-1/president-trump-rally-sunrise-florida,Speech
