id,publicId,title,description,date,link,videoTypeId
525202,459920-1,Joe Biden with Stop and Shop Strikers in Massachusetts,Former Vice President Joe Biden spoke at a rally in support of striking Stop and Shop workers.,2019-04-18,https://www.c-span.org/video/?459920-1/joe-biden-stop-shop-strikers-massachusetts,Speech
525647,460193-1,Joe Biden Campaign Rally in Pittsburgh,"Former Vice President Joe Biden (D) held his first campaign rally in Pittsburgh since announcing his 2020 presidential bid. At the top of his remarks, he mentioned the Poway synagogue shooting in California, telling an audience of supporters that the shooting was a reminder that we are in a &ldquo;battle for America&rsquo;s soul.&rdquo; Mr. Biden talked about the contributions of working class people, increasing the minimum wage to $15 an hour, and making college education and health care more affordable. This hour-long event also included an endorsement and speech by the president of the International Association of Fire Fighters (IAFF) and remarks by Jill Biden and a local Pittsburgh school teacher.",2019-04-29,https://www.c-span.org/video/?460193-1/joe-biden-campaign-rally-pittsburgh,Speech
525746,460257-1,Joe Biden in Iowa,Former Vice President Joe Biden held a campaign rally in Iowa.,2019-04-30,https://www.c-span.org/video/?460257-1/joe-biden-iowa,Speech
526427,460665-1,"Joe Biden in Hampton, New Hampshire","Former Vice President Joe Biden, a 2020 Democratic presidential candidate, made a campaign stop in Hampton, New Hampshire at the Community Oven, a local pizza parlor.",2019-05-13,https://www.c-span.org/video/?460665-1/joe-biden-hampton-hampshire,Speech
526237,460548-1,Joe Biden Presidential Campaign Kick-Off,"Former Vice President Joe Biden (D) kicked off his 2020 presidential campaign with a rally in Philadelphia. To a large crowd of supporters at Eakins Oval, the former vice president stressed unity over division and said if elected, he would work with others to address issues such as climate change, health care affordability and access, and jobs and the economy.",2019-05-18,https://www.c-span.org/video/?460548-1/joe-biden-presidential-campaign-kick,Speech
527574,461356-1,Iowa Democratic Party Hall of Fame Forum,The Iowa Democratic Party held its Hall of Fame event with remarks from 19 Democratic presidential candidates.,2019-06-09,https://www.c-span.org/video/?461356-1/iowa-democratic-party-hall-fame-forum,Speech
528001,461569-1,"Joe Biden in Mount Pleasant, Iowa","Former Vice President Joe Biden, a 2020 Democratic presidential candidate, spoke in Mount Pleasant, Iowa.",2019-06-11,https://www.c-span.org/video/?461569-1/joe-biden-mount-pleasant-iowa,Speech
528108,461636-1,"Joe Biden Campaign Rally in Davenport, Iowa","Former Vice President Joe Biden, a 2020 presidential candidate, completed the first day of a two-day trip through Iowa with a speech in Davenport, Iowa.",2019-06-11,https://www.c-span.org/video/?461636-1/joe-biden-campaign-rally-davenport-iowa,Speech
528860,461983-20,South Carolina Democratic Party Convention: Joe Biden,"Former Vice President Joe Biden, a 2020 Democratic presidential candidate, spoke at the South Carolina Democratic Party convention in Columbia.",2019-06-22,https://www.c-span.org/video/?461983-20/south-carolina-democratic-party-convention-joe-biden,Speech
528784,461983-2,South Carolina Democratic Party Convention: Senator Kamala Harris,"Senator Kamala Harris (D-CA), a 2020 Democratic presidential candidate, spoke at the South Carolina Democratic Party convention in Columbia.",2019-06-22,https://www.c-span.org/video/?461983-2/south-carolina-democratic-party-convention-senator-kamala-harris,Speech
