id,publicId,title,description,date,link,videoTypeId
520360,457212-1,"Senator Kamala Harris Presidential Campaign Launch in Oakland, CA","Senator Kamala Harris (D-CA) held a rally in her hometown of Oakland, California, to formally launch her 2020 presidential campaign. She told supporters, &ldquo;And so, I stand before you today clear-eyed about the fight ahead and what has to be done. With faith in God, with fidelity to country, and with the fighting spirit I got from my mother, I stand before you today to announce my candidacy for president of the United States.&rdquo; Senator Harris first declared she was running for president on Martin Luther King Jr. Day earlier in the week. She was introduced by by Oakland Mayor Libby Schaaf. SambaFunk!, a musical collective from Oakland, also performed at the event.",2019-01-27,https://www.c-span.org/video/?457212-1/senator-kamala-harris-presidential-campaign-launch-oakland-ca,Rally
521790,457973-1,"Senator Kamala Harris Town Hall in Portsmouth, New Hampshire","Senator Kamala Harris (D-CA) held a town hall meeting in Portsmouth, New Hampshire, to talk about health care, immigration, climate change, and efforts to prevent gun violence. This was Senator Harris&rsquo;s first visit to the Granite State since announcing her candidacy for president.",2019-02-18,https://www.c-span.org/video/?457973-1/senator-kamala-harris-town-hall-portsmouth-hampshire,Speech
521622,457898-1,Politics and Eggs Breakfast with Senator Kamala Harris,"Senator Kamala Harris (D-CA), a 2020 presidential candidate, spoke at a Saint Anselm College &ldquo;Politics and Eggs&rdquo; breakfast in Manchester, New Hampshire. She talked about her policy goals and motivations for running for president, and said there was a strong need for a leadership change in the U.S. in order to elect leaders who did not put their own self-interests ahead of the interests of the country.",2019-02-19,https://www.c-span.org/video/?457898-1/politics-eggs-breakfast-senator-kamala-harris,Speech
525331,459979-1,"Senator Kamala Harris Town Hall in Hanover, New Hampshire","Democratic presidential candidate and U.S. Senator Kamala Harris (CA) participated in a town hall at Dartmouth College in Hanover, New Hampshire.",2019-04-23,https://www.c-span.org/video/?459979-1/senator-kamala-harris-town-hall-hanover-hampshire,Speech
527574,461356-1,Iowa Democratic Party Hall of Fame Forum,The Iowa Democratic Party held its Hall of Fame event with remarks from 19 Democratic presidential candidates.,2019-06-09,https://www.c-span.org/video/?461356-1/iowa-democratic-party-hall-fame-forum,Speech
528784,461983-2,South Carolina Democratic Party Convention: Senator Kamala Harris,"Senator Kamala Harris (D-CA), a 2020 Democratic presidential candidate, spoke at the South Carolina Democratic Party convention in Columbia.",2019-06-22,https://www.c-span.org/video/?461983-2/south-carolina-democratic-party-convention-senator-kamala-harris,Speech
529136,462218-1,"Senator Kamala Harris Town Hall in Des Moines, Iowa","Senator Kamala Harris (D-CA), a 2020 Democratic presidential candidate, held a town hall in Des Moines, Iowa. Topics included health care, teacher pay, border security and the situation in detention centers at the U.S.-Mexico border.",2019-07-03,https://www.c-span.org/video/?462218-1/senator-kamala-harris-town-hall-des-moines-iowa,Speech
529557,462455-1,"Senator Kamala Harris in Gilford, New Hampshire","Senator Kamala Harris (D-CA), a 2020 Democratic presidential candidate, spoke to supporters at a house party in Gilford, New Hampshire",2019-07-14,https://www.c-span.org/video/?462455-1/senator-kamala-harris-gilford-hampshire,Speech
531225,463176-3,"Iowa Democratic Wing Ding Event, Part 3","Senators Bernie Sanders (I-VT) and Cory Booker (D-NJ), Andrew Yang, Senator Kamala Harris (D-CA), Governor Jay Inslee (D-WA), Senator Elizabeth Warren (D-MA), and former Vice President Joe Biden, all 2020 Democratic presidential candidates, spoke during this portion of the 2019 Iowa Democratic Wing Ding fundraiser in Clear Lake, Iowa. What began as a fundraiser for local Iowa Democratic candidates and county parties in 2003 became an important stop for politicians from all over the country, especially those running for president. The Wing Ding in 2019 hosted 21 of the Democratic presidential candidates.",2019-08-09,https://www.c-span.org/video/?463176-3/iowa-democratic-wing-ding-event-part-3,Speech
531173,463123-2,Senator Kamala Harris at Iowa State Fair,"Senator Kamala Harris (D-CA), a 2020 Democratic presidential candidate, spoke at the Iowa State Fair. Afterward, she answered reporters' questions. During presidential election years, the Des Moines Register invites all candidates to speak at their political soapbox. The Iowa caucuses, scheduled for February 3, 2020, are the first nominating contest in the nation&rsquo;s presidential primaries.",2019-08-10,https://www.c-span.org/video/?463123-2/senator-kamala-harris-iowa-state-fair,Speech
532289,464034-1,"Senator Kamala Harris at Portsmouth, New Hampshire Democratic Dinner","Senator Kamala Harris (D-CA), a 2020 Democratic presidential candidate, was the keynote speaker at the Portsmouth, New Hampshire Democratic Party annual banquet.",2019-09-06,https://www.c-span.org/video/?464034-1/senator-kamala-harris-portsmouth-hampshire-democratic-dinner,Speech
532404,463579-8,Senator Harris at New Hampshire Democratic Party Convention,"Senator Kamala Harris (D-CA), a 2020 presidential candidate, spoke at the New Hampshire Democratic Party&rsquo;s state convention in Manchester.",2019-09-07,https://www.c-span.org/video/?463579-8/senator-harris-hampshire-democratic-party-convention,Speech
536780,466668-1,"Kamala Harris Meets with Voters in Muscatine, Iowa","Senator Kamala Harris (D-CA), a 2020 presidential candidate, spoke to and met with voters at the Missipi Brewing Company in Muscatine, Iowa. Senator Harris was introduced by a local supporter, and she then talked about her campaign and issues including public education and teacher pay. Afterward, she greeted many of the caucus-goers who attended the event.",2019-11-22,https://www.c-span.org/video/?466668-1/kamala-harris-meets-voters-muscatine-iowa,Speech
537090,466837-1,"Senator Kamala Harris House Party in Knoxville, Iowa","Senator Kamala Harris (D-CA), a 2020 presidential candidate, spoke with voters at a house party hosted at the residence of a county Democratic Party chair in Knoxville, Iowa. After being introduced by the homeowner, Senator Harris talked briefly about her campaign for president, and then answered questions from attendees on topics including immigration, border security, and criminal justice reform. Afterward, she met with many attendees, including a group of young voters whom she spoke with about school safety and gun control laws.",2019-12-01,https://www.c-span.org/video/?466837-1/senator-kamala-harris-house-party-knoxville-iowa,Speech
542791,470101-1,Joe Biden Campaign Event in Detroit,"Joe Biden, a 2020 Democratic presidential candidate, held a campaign event in Detroit. He was introduced by Michigan Governor Gretchen Whitmer (D), and Senators Cory Booker (D-NJ) and Kamala Harris (D-CA), both former 2020 presidential candidates who endorsed Mr. Biden&rsquo;s campaign after ending their own bids. Mr. Biden thanked them for their support and spoke about the importance of winning the state of Michigan in its March 10 primary. Later, he highlighted the issues most important to his campaign, including improving America&rsquo;s international relationships.",2020-03-09,https://www.c-span.org/video/?470101-1/joe-biden-campaign-event-detroit,Speech
549016,473613-1,Senator Harris on Police Reform,"Senator Kamala Harris (D-CA) spoke with <i>Washington Post</i> columnist Jonathan Capehart about police and criminal justice reform. Senator Harris was considered a potential running mate for Joe Biden, the 2020 presumptive Democratic presidential nominee. She deferred comment on that possibility, saying she wanted to focus on her work in the Senate, particularly on the federal government&rsquo;s response to the coronavirus pandemic as well as police and criminal justice reform.",2020-07-02,https://www.c-span.org/video/?473613-1/senator-harris-police-reform,Speech
551059,474731-1,Joe Biden Introduction of Senator Kamala Harris as Running Mate,"Joe Biden, the presumptive 2020 Democratic presidential nominee, formally introduced Senator Kamala Harris (D-CA) as his vice presidential running mate. During his remarks, the former vice president talked about why he selected Senator Harris and how she complements him as a running mate. Later on, Senator Harris thanked Mr. Biden for selecting her and talked about her relationship with Beau Biden, Joe Biden&rsquo;s son who died from cancer in 2015. &ldquo;Joe and I are cut from the same cloth,&rdquo; she said. Following their remarks, the candidates' spouses, Jill Biden and Doug Emhoff, briefly greeted them before leaving the high school gymnasium that served as the venue for the event. Due to the coronavirus pandemic, only reporters and the candidates' families were allowed inside the venue.",2020-08-12,https://www.c-span.org/video/?474731-1/joe-biden-introduction-senator-kamala-harris-running-mate,Speech
