id,publicId,title,description,date,link,videoTypeId
520056,457050-1,President Trump Remarks on Missile Defense Review,"President Trump traveled to the Pentagon to announce the results of the administration&rsquo;s missile defense review. At the start, the president addressed the ongoing partial government shutdown and offered his condolences to the families of the four Americans killed in Syria. Acting Defense Secretary Patrick Shanahan and Vice President Mike Pence provided introductory remarks.",2019-01-17,https://www.c-span.org/video/?457050-1/president-trump-remarks-missile-defense-review,Speech
520887,457497-1,Vice President Pence Remarks at Venezuela Solidarity Event,"Vice President Pence spoke at a Venezuela solidarity event held in Miami, Florida.",2019-02-01,https://www.c-span.org/video/?457497-1/vice-president-pence-remarks-venezuela-solidarity-event,Speech
520882,457495-1,Vice President Pence Meeting with Venezuelan Exiles,"Vice President Pence traveled to Miami, Florida, to meet with Venezuelan exiles and community leaders to hear their stories. He was joined by second lady Karen Pence and Florida Republican Senators Rick Scott and Marco Rubio.",2019-02-01,https://www.c-span.org/video/?457495-1/vice-president-pence-meeting-venezuelan-exiles,Roundtable
521277,457707-101,Vice President Pence Visit to Challenger Crew Memoria,"Vice President Mike Pence paid his respects to the Challenger Space Shuttle crew, who died in January 1986, when the shuttle exploded shortly after launch. He also visited the memorial to the crew of the Columbia Space Shuttle who perished in 2003.",2019-02-07,https://www.c-span.org/video/?457707-101/vice-president-pence-visit-challenger-crew-memoria,Appearance
521218,457672-1,Vice President Pence Remarks on Drug Trafficking,Vice President Mike Pence delivered remarks to directors and deputy directors of the High Intensity Drug Trafficking Areas (HIDTA) program.,2019-02-07,https://www.c-span.org/video/?457672-1/vice-president-pence-remarks-drug-trafficking,Speech
521271,457707-1,Vice President Pence Remarks on NASA Day of Remembrance,Vice President Mike Pence and NASA Administrator Jim Bridenstine laid a wreath at the graves of astronauts Gus Grissom and Roger Chaffee and paid tribute to them and the Space Shuttle Challenger and Columbia crews.,2019-02-07,https://www.c-span.org/video/?457707-1/vice-president-pence-remarks-nasa-day-remembrance,Speech
521597,457889-1,Vice President Pence Remarks to U.S. and Polish Troops in Warsaw,"In a speech to U.S. and Polish troops in Warsaw, Poland, Vice President Pence said the free world needs a &ldquo;strong and united&rdquo; NATO. He reaffirmed U.S. commitment to the transatlantic alliance, saying that &ldquo;an attack on one is an attack on all.&rdquo;",2019-02-13,https://www.c-span.org/video/?457889-1/vice-president-pence-remarks-us-polish-troops-warsaw,Speech
521654,457911-1,Vice President Pence Remarks at Middle East Summit in Poland,"At a Middle East conference in Warsaw, Poland, Vice President Mike Pence called on European countries to join the United States in leaving the Iran nuclear deal. In his remarks, the vice president condemned Iran&rsquo;s actions in the region and criticized the decision by some European partners to create schemes that he said would &ldquo;break American sanctions.&rdquo; The summit, organized by the United States, included representatives from dozens of European and Middle East countries.",2019-02-14,https://www.c-span.org/video/?457911-1/vice-president-pence-remarks-middle-east-summit-poland,Speech
521670,457921-1,Vice President Pence and Polish Prime Minister Visit to Warsaw Uprising Memorial,"Vice President Mike Pence and Polish Prime Minister Mateusz Morawiecki laid wreaths at the Warsaw Uprising Monument, followed by remarks from the vice president.",2019-02-14,https://www.c-span.org/video/?457921-1/vice-president-pence-polish-prime-minister-visit-warsaw-uprising-memorial,Speech
521693,457916-101,Vice President Pence Meeting with Polish Prime Minister in Warsaw,"At a meeting with Polish Prime Minister Mateusz Morawiecki in Warsaw, Vice President Mike Pence thanked Poland for its joint opposition to Russia&rsquo;s Nord Stream 2 gas pipeline to Europe, which the Trump administration says poses a security risk.",2019-02-14,https://www.c-span.org/video/?457916-101/vice-president-pence-meeting-polish-prime-minister-warsaw,Remarks
521661,457916-1,Vice President Pence Meeting with Israeli Prime Minister Netanyahu,"Vice President Mike Pence and Israeli Prime Minister Benjamin Netanyahu made remarks during a bilateral meeting at a Middle East security summit in Warsaw, Poland.",2019-02-14,https://www.c-span.org/video/?457916-1/vice-president-pence-meeting-israeli-prime-minister-netanyahu,Remarks
521803,457976-1,Vice President Pence Remarks at Munich Security Conference,Vice President Mike Pence addressed the inaugural John McCain Dissertation Award Ceremony at the Munich Security Conference. He paid tribute to the late senator and reflected on his visit to Auschwitz and the challenges facing the world.,2019-02-15,https://www.c-span.org/video/?457976-1/vice-president-pence-remarks-munich-security-conference,Speech
521868,458010-104,U.S.-Ukraine Relations,"Vice President Mike Pence and Ukrainian President Petro Poroshenko made remarks before a meeting at the 2019 Munich Security Conference in Munich, Germany.",2019-02-16,https://www.c-span.org/video/?458010-104/us-ukraine-relations,Remarks
521866,458010-102,"Vice President Remarks to Reporters in Munich, Germany","Vice President Mike Pence answered questions from reporters while at the 2019 Munich Security Conference in Munich, Germany.",2019-02-16,https://www.c-span.org/video/?458010-102/vice-president-remarks-reporters-munich-germany,News Conference
521867,458010-103,Vice President Pence Meeting With Afghanistan President,"Vice President Mike Pence and Afghanistan President Ashraf Ghani made remarks before a meeting at the 2019 Munich Security Conference in Munich, Germany.The audio in this program is difficult to hear.",2019-02-16,https://www.c-span.org/video/?458010-103/vice-president-pence-meeting-afghanistan-president,Speech
521864,458010-101,U.S.-NATO Relations,"Vice President Mike Pence met with NATO Secretary General Jens Stoltenberg at the 2019 Munich Security Conference in Munich, Germany.",2019-02-16,https://www.c-span.org/video/?458010-101/us-nato-relations,Speech
521860,458010-1,Vice President Pence Remarks at 2019 Munich Security Conference,"Vice President Pence Mike Pence spoke at the 2019 Munich Security Conference in Germany. He talked about foreign affairs, including NATO, U.S. trade relations with China, penalties on Russia, defeating ISIS in Iraq and Syria, and de-nuclearization of North Korea and President Trump&rsquo;s upcoming meeting with Kim Jong Un in Vietnam. He also called on European countries to join the U.S. in confronting Iran and the regime of Nicolas Maduro in Venezuela.",2019-02-16,https://www.c-span.org/video/?458010-1/vice-president-pence-remarks-2019-munich-security-conference,Speech
521938,458044-1,President Trump Space Force Signing Ceremony,"President Trump signed another presidential directive concerning a Space Force. He also spoke about his upcoming summit with North Korea&rsquo;s leader, trade talks with China, and more than a dozen U.S. states filing a lawsuit over his declaration of a national emergency to get more federal funds to build a U.S.-Mexico border wall. The president denied when asked by a reporter if he asked Acting Attorney General Matthew Whitaker to see if U.S. attorney Geoffrey Berman could be put in charge of the Southern District of New York&rsquo;s probe into his former personal attorney, Michael Cohen, dismissing it as &ldquo;more fake news.&rdquo;",2019-02-19,https://www.c-span.org/video/?458044-1/president-trump-space-force-signing-ceremony,Remarks
