	SpeechIDdrop
0	CSPANMP1220192
1	CSPANMP7220193
2	CSPANMP13220196
3	CSPANMP14220197
4	CSPANMP14220198
5	CSPANMP14220199
6	CSPANMP152201910
7	CSPANMP162201911
8	CSPANMP162201912
9	CSPANMP162201913
10	CSPANMP162201914
11	CSPANMP162201915
12	CSPANMP192201916
13	CSPANMP252201918
14	CSPANMP252201919
15	CSPANMP252201920
16	CSPANMP153201921
17	CSPANMP213201923
18	CSPANMP24201924
19	CSPANMP25201926
20	CSPANMP305201927
21	CSPANMP305201928
22	CSPANMP46201929
23	CSPANMP186201934
24	CSPANMP127201937
25	CSPANMP177201938
26	CSPANMP257201940
27	CSPANMP257201941
28	CSPANMP267201943
29	CSPANMP39201947
30	CSPANMP39201946
31	CSPANMP39201948
32	CSPANMP49201950
33	CSPANMP49201951
34	CSPANMP49201952
35	CSPANMP49201953
36	CSPANMP59201954
37	CSPANMP59201955
38	CSPANMP59201956
39	CSPANMP99201957
40	CSPANMP239201958
41	CSPANMP279201959
42	CSPANMP309201960
43	CSPANMP1710201962
44	CSPANMP1810201963
45	CSPANMP2910201965
46	CSPANMP2511201970
47	CSPANMP2611201971
48	CSPANMP912201972
49	CSPANMP1612201974
50	CSPANMP141202076
51	CSPANMP151202077
52	CSPANMP241202078
53	CSPANMP311202079
54	CSPANMP102202082
55	CSPANMP242202084
56	CSPANMP23202088
57	CSPANMP43202089
58	CSPANMP43202090
59	CSPANMP53202092
60	CSPANMP53202091
61	CSPANMP53202093
62	CSPANMP53202094
63	CSPANMP53202096
64	CSPANMP53202095
65	CSPANMP103202097
66	CSPANMP193202098
67	CSPANMP144202099
68	CSPANMP2142020101
69	CSPANMP2242020102
70	CSPANMP2742020103
71	CSPANMP2942020104
72	CSPANMP2942020105
73	CSPANMP3042020106
74	CSPANMP3042020107
75	CSPANMP752020108
76	CSPANMP752020109
77	CSPANMP752020110
78	CSPANMP852020111
79	CSPANMP852020112
80	CSPANMP1852020113
81	CSPANMP2052020114
82	CSPANMP2052020115
83	CSPANMP2052020116
84	CSPANMP2252020118
85	CSPANMP2252020119
86	CSPANMP2252020117
87	CSPANMP2852020120
88	CSPANMP1262020122
89	CSPANMP1262020123
90	CSPANMP1562020124
91	CSPANMP1662020125
92	CSPANMP1662020126
93	CSPANMP2062020130
94	CSPANMP2362020131
95	CSPANMP2862020136
96	CSPANMP3062020137
97	CSPANMP172020138
98	CSPANMP172020139
99	CSPANMP272020140
100	CSPANMP272020141
101	CSPANMP772020142
102	CSPANMP972020143
103	CSPANMP1472020145
104	CSPANMP1672020147
105	CSPANMP1772020148
106	CSPANMP2072020150
107	CSPANMP2172020151
108	CSPANMP2172020152
109	CSPANMP2472020153
110	CSPANMP2972020154
111	CSPANMP492020162
112	CSPANMP1192020163
113	CSPANMP1792020164
114	CSPANMP1892020165
115	CSPANMP2392020166
116	CSPANMP2592020167
117	CSPANMP3112020169
118	CSPANMP3122020172
119	CSPANMP10122020175
120	CSPANMP18122020179
