	SpeechIDdrop
0	VSDT212019323
1	VSDT312019322
2	VSDT1112019319
3	VSDT1612019315
4	VSDT2312019312
5	VSDT2312019311
6	VSDT2512019309
7	VSDT1322019304
8	VSDT1322019528
9	VSDT1322019529
10	VSDT1522019527
11	VSDT1822019526
12	VSDT2122019525
13	VSDT2722019301
14	VSDT2722019302
15	VSDT2822019522
16	VSDT232019521
17	VSDT532019519
18	VSDT732019300
19	VSDT1432019517
20	VSDT1832019299
21	VSDT1932019298
22	VSDT2532019293
23	VSDT2732019292
24	VSDT2932019291
25	VSDT942019516
26	VSDT1042019515
27	VSDT1142019514
28	VSDT1242019290
29	VSDT1742019513
30	VSDT1842019512
31	VSDT2442019511
32	VSDT2542019288
33	VSDT2642019510
34	VSDT2742019285
35	VSDT2942019284
36	VSDT3042019283
37	VSDT252019508
38	VSDT1052019506
39	VSDT1452019504
40	VSDT1552019502
41	VSDT1552019503
42	VSDT1752019500
43	VSDT2252019498
44	VSDT2652019280
45	VSDT2752019497
46	VSDT2752019279
47	VSDT2852019496
48	VSDT2852019495
49	VSDT362019491
50	VSDT462019490
51	VSDT1162019487
52	VSDT1262019486
53	VSDT1262019277
54	VSDT1362019485
55	VSDT1462019484
56	VSDT1962019276
57	VSDT2462019275
58	VSDT2862019270
59	VSDT2862019269
60	VSDT2862019267
61	VSDT2862019268
62	VSDT2962019266
63	VSDT2962019264
64	VSDT3062019263
65	VSDT3062019261
66	VSDT3062019262
67	VSDT872019259
68	VSDT872019260
69	VSDT1672019258
70	VSDT1872019257
71	VSDT1972019479
72	VSDT2372019478
73	VSDT3072019475
74	VSDT1382019473
75	VSDT2182019472
76	VSDT492019256
77	VSDT492019255
78	VSDT1092019471
79	VSDT2292019468
80	VSDT2292019467
81	VSDT2392019466
82	VSDT2492019463
83	VSDT2792019462
84	VSDT3092019461
85	VSDT4102019460
86	VSDT4102019254
87	VSDT23102019459
88	VSDT25102019457
89	VSDT28102019456
90	VSDT11112019253
91	VSDT12112019454
92	VSDT12112019252
93	VSDT19112019250
94	VSDT25112019249
95	VSDT25112019248
96	VSDT28112019453
97	VSDT28112019452
98	VSDT30112019246
99	VSDT4122019245
100	VSDT7122019244
101	VSDT13122019243
102	VSDT31122019449
103	VSDT1012020237
104	VSDT1812020236
105	VSDT1812020445
106	VSDT1912020444
107	VSDT2912020233
108	VSDT3012020441
109	VSDT722020437
110	VSDT1222020229
111	VSDT1322020228
112	VSDT1422020435
113	VSDT1922020433
114	VSDT2022020226
115	VSDT2622020225
116	VSDT332020430
117	VSDT1332020222
118	VSDT1732020221
119	VSDT2032020217
120	VSDT2432020215
121	VSDT2832020212
122	VSDT2932020211
123	VSDT3032020209
124	VSDT3032020208
125	VSDT3032020205
126	VSDT3132020204
127	VSDT3132020203
128	VSDT142020201
129	VSDT142020200
130	VSDT242020198
131	VSDT242020196
132	VSDT242020197
133	VSDT342020195
134	VSDT342020194
135	VSDT342020193
136	VSDT342020192
137	VSDT342020191
138	VSDT342020190
139	VSDT442020188
140	VSDT442020187
141	VSDT442020186
142	VSDT442020185
143	VSDT442020184
144	VSDT542020181
145	VSDT542020182
146	VSDT542020183
147	VSDT542020180
148	VSDT542020179
149	VSDT742020178
150	VSDT1142020176
151	VSDT1442020174
152	VSDT1542020173
153	VSDT1642020172
154	VSDT1742020171
155	VSDT2342020169
156	VSDT2342020168
157	VSDT2442020165
158	VSDT2442020166
159	VSDT2542020164
160	VSDT652020159
161	VSDT752020158
162	VSDT852020157
163	VSDT1352020153
164	VSDT1452020152
165	VSDT1552020426
166	VSDT1552020427
167	VSDT1552020151
168	VSDT1952020149
169	VSDT1952020148
170	VSDT2752020145
171	VSDT3052020142
172	VSDT3052020143
173	VSDT3052020140
174	VSDT562020137
175	VSDT862020135
176	VSDT1062020134
177	VSDT1262020133
178	VSDT1662020131
179	VSDT1762020130
180	VSDT1862020129
181	VSDT1862020128
182	VSDT2362020127
183	VSDT2462020126
184	VSDT2562020124
185	VSDT272020122
186	VSDT872020119
187	VSDT1072020118
188	VSDT1572020115
189	VSDT1872020113
190	VSDT2472020110
191	VSDT2972020108
192	VSDT3072020106
193	VSDT3172020104
194	VSDT382020103
195	VSDT382020102
196	VSDT582020100
197	VSDT68202097
198	VSDT68202096
199	VSDT68202095
200	VSDT782020424
201	VSDT882020423
202	VSDT88202093
203	VSDT1082020421
204	VSDT1382020419
205	VSDT1382020418
206	VSDT188202091
207	VSDT238202089
208	VSDT2782020413
209	VSDT2882020411
210	VSDT318202087
211	VSDT192020407
212	VSDT192020408
213	VSDT492020404
214	VSDT892020402
215	VSDT892020401
216	VSDT1192020396
217	VSDT139202083
218	VSDT1492020393
219	VSDT1592020391
220	VSDT1592020390
221	VSDT1592020389
222	VSDT1792020385
223	VSDT189202082
224	VSDT1992020383
225	VSDT1992020381
226	VSDT2192020380
227	VSDT219202080
228	VSDT219202079
229	VSDT249202075
230	VSDT2592020374
231	VSDT2592020373
232	VSDT2692020371
233	VSDT2792020368
234	VSDT299202074
235	VSDT309202073
236	VSDT510202070
237	VSDT10102020364
238	VSDT1310202065
239	VSDT1310202066
240	VSDT1510202064
241	VSDT16102020362
242	VSDT2710202059
243	VSDT2810202058
244	VSDT111202055
245	VSDT1211202047
246	VSDT13112020346
247	VSDT20112020345
248	VSDT2411202044
249	VSDT26112020342
250	VSDT2122020340
251	VSDT312202043
252	VSDT3122020339
253	VSDT6122020338
254	VSDT7122020336
255	VSDT812202038
256	VSDT8122020335
257	VSDT1012202034
258	VSDT1112202033
259	VSDT1612202031
260	VSDT1612202030
261	VSDT1812202028
262	VSDT2112202026
263	VSDT3112202017
264	VSDT11202115
265	VSDT51202114
266	VSDT612021332
267	VSDT712021330
268	VSDT81202112
269	VSDT121202111
270	VSDT1312021326
271	VSDT131202110
272	VSDT14120218
273	VSDT14120219
274	VSDT18120214
275	VSDT18120213
276	VSDT18120217
277	VSDT18120215
278	VSDT18120216
279	VSDT19120212
280	VSDT19120210
281	VSDT19120211
282	VSDT2012021324
283	VSDT1612019316
284	VSDT2110202062
285	VSDT2442020167
286	VSDT812202037
287	VSDT2962019265
288	VSDT1152020154
289	VSDT1472020116
290	VSDT2172020111
291	VSDT3072020107
292	VSDT382020425
293	VSDT482020101
294	VSDT1182020420
295	VSDT1482020416
296	VSDT1682020415
297	VSDT258202088
298	VSDT3182020410
299	VSDT792020403
300	VSDT1092020397
301	VSDT1692020388
302	VSDT2392020376
