	SpeechIDdrop
0	VSJB1872020156
1	VSJB1592020126
2	VSJB1692020123
3	VSJB1692020124
4	VSJB2592020108
5	VSJB2792020195
6	VSJB210202099
7	VSJB610202096
8	VSJB1310202090
9	VSJB2010202075
10	VSJB2710202063
11	VSJB2810202060
12	VSJB21202125
13	VSJB201202118
14	VSJB492019159
15	VSJB992020196
16	VSJB2792020194
17	VSJB3112020192
18	VSJB4112020191
19	VSJB9112020189
20	VSJB201202112
21	VSJB201202114
22	VSJB201202119
23	VSJB201202116
24	VSJB201202115
25	VSJB211202110
26	VSJB2112021167
27	VSJB2512021165
28	VSJB26120216
29	VSJB26120215
30	VSJB26120214
31	VSJB27120213
32	VSJB28120211
