	SpeechIDdrop
0	VSKH1332019116
1	VSKH1642019103
2	VSKH257201987
3	VSKH2111201970
4	VSKH62202052
5	VSKH19920207
6	VSKH131020201
7	VSKH1322019126
8	VSKH1432019114
9	VSKH136201999
10	VSKH1911201974
11	VSKH2111201971
12	VSKH171202058
13	VSKH281202056
14	VSKH112202049
15	VSKH192202045
16	VSKH202202044
17	VSKH262202043
18	VSKH272202041
19	VSKH272202042
20	VSKH33202040
21	VSKH58202019
22	VSKH58202018
23	VSKH68202016
24	VSKH68202017
25	VSKH68202015
26	VSKH68202014
27	VSKH108202013
28	VSKH108202012
29	VSKH128202011
30	VSKH218202010
31	VSKH27820209
32	VSKH13920208
33	VSKH23920206
34	VSKH26920205
35	VSKH11020204
36	VSKH91020203
37	VSKH121020202
