SpeechID	POTUS	Date	SpeechTitle	Type	RawText	SpeechURL	Summary	Source	Location	Original source
VSKH1712019128	Kamala Harris	2019-01-17	Senator Harris Statement on the Nomination of William Barr to be United States Attorney General	statement	Today, U.S. Senator Kamala D. Harris (D-CA) released the following statement opposing the nomination of William Barr to be Attorney General: The Attorney General is entrusted with ensuring the fair and impartial administration of justice for all Americans. With the rule of law under daily attack from the President of the United States himself, that sacred trust is more important than ever. After two days of confirmation hearings in the Senate Judiciary Committee, I do not believe that William Barr is the right person to hold this vital position at this critical time. With the government shut down over the President's demand for a border wall and asylum-seeking families detained at the border, Mr. Barr continues to support an ineffective and draconian approach to border security. With a criminal justice system that disproportionately harms communities of color, Mr. Barr continues to express support for the same failed policies he encouraged in the 1990s when he effectively advocated for mass incarceration. And with Robert Mueller's investigation into Russian interference in the 2016 election at a critical moment, Mr. Barr refused to commit to recusing himself, even if career ethics officials at the Department of Justice recommended he do so. I appreciate the commitments Mr. Barr made, including a willingness to reconsider DOJ's attacks on Americans' health care coverage, to provide a list of consent decrees that have been withdrawn by DOJ and any consent decree he may withdraw, to respect state laws legalizing marijuana, and to vigorously enforce voting rights. I fully intend to hold him to these commitments should he become the Attorney General. While I respect Mr. Barr's past public service, I do not believe he will defend independent investigations from attacks, embrace a smart on crime approach to public safety, and ensure equal protection under the law for every single American.	https://votesmart.org/public-statement/1321726/senator-harris-statement-on-the-nomination-of-william-barr-to-be-united-states-attorney-general&speechType=6	Executive Branch Government Operations		Washington, DC	https://www.harris.senate.gov/news/press-releases/senator-harris-statement-on-the-nomination-of-william-barr-to-be-united-states-attorney-general
VSKH522019127	Kamala Harris	2019-02-05	"Senator Harris Before State of the Union: ""The American People Are Spirited, Resourceful, and Resilient"""	statement	Tonight, U.S. Senator Kamala D. Harris delivered remarks in advance of President Trump's 2019 State of the Union address in which she rejected the president's attempts to drive Americans apart and instead offered a vision for the country based in speaking truth and recognizing that every American is united in service of a common, higher purpose. A full transcript of Senator Harris' remarks below, as prepared for delivery: Hi, everyone. Thanks for tuning in. So, listen , in war and peace, in times of hardship and prosperity, the State of the Union has always been a chance for our President to speak to the nation. It's a moment for a President to rise above politics and unite the country with a vision that includes ALL Americans, not just the ones who may have voted for them. It's a moment to bring us together and remind us that we should be united in service of a common purpose, a higher purpose. And I believe we are at an inflection point in the history of our nation. It's a moment where we must answer a fundamental question. Who are we? What is the state of our union? What is that higher purpose we're called to? And how must our leaders respond? We need our leaders to speak the truth that we have an economy where the cost of health care, housing, and education are going up, but paychecks aren't growing fast enough to keep up. We also need our leaders to speak truth about the threat of climate change and about our broken criminal justice system, about our weakened position in the world and about the realities of racism, sexism, anti-Semitism, homophobia, and transphobia. And we need our leaders to speak the biggest truth of all: In the face of powerful forces that have been trying to sow hate and division among us, the truth is that as Americans we have much more in common than what separates us. So let's speak those truths and recommit ourselves to fighting for our Union, an optimistic America. Let's fight for an America where the economy works for working people. An America where health care and education are fundamental rights, not a privilege for the wealthy few. Where our nation is secure, our democracy and its institutions are protected, and where we honor our service members and veterans. An America where no mother or father has to teach their son that people may stop him or kill him because of the color of his skin, and where no parent has to send their child to school with a bulletproof backpack. Let's fight for an America where we welcome refugees and immigrants, and where we fight for the dignity of all people, no matter who they are, no matter what they look like or how they identify. Now, if last year's remarks are any guide, we're in store not for a speech that will seek to draw us together as Americans, but one that seeks to score political points by driving us apart. We will hear insincere appeals to unity, but what we need is a policy agenda that calls on the better angels of our nature. So I want you all to listen closely. When you hear claims about how the economy is doing great, don't forget the working and middle-class families who are struggling, the teachers who are working two and three jobs, and the 800,000 federal workers who recently went 35 days without getting paid, all while this Administration gives away a trillion dollars to big corporations. When you hear claims about rewriting rules and cutting red tape, don't forget that means workers will have fewer workplace safety protections, pregnant women will have fewer clinics to turn to for care, children will have drinking water that's less safe. And remember that those rules are being rewritten to help big corporations and powerful interests. When you hear claims about how America is stronger in the world, don't forget the farmers and consumers hurt by this Administration's trade wars, and don't forget our allies who are now concerned that the United States of America may not keep our commitments. When you hear claims that our problems would all be solved if we just built a wall on our southern border, don't forget the babies ripped from their mothers' arms and the refugees fleeing violence and abuse who are being turned away. But no matter what we hear tonight, I want everyone to remember this. The strength of our union has never been found in the walls we build. It's in our diversity and our unity , and that is our power. We see the State of our Union in the working mom who's also working to earn her college degree We see it in the firefighter in California who works around the clock to battle a wildfire, knowing her own home is at risk of being demolished. We see it in the formerly incarcerated individual who re-enters society looking to contribute and in the Dreamer who pursues her future as a doctor in the face of fear and uncertainty that she'll be deported. We see it in the unpaid air traffic controller who still goes to work and helps safely land a plane and the neighbors who bring food to furloughed families. At this difficult moment, we can have faith that the American people are spirited, resourceful, and resilient. And because of them, we can come together around that common purpose. So thank you everyone. And after the speech, I hope that you'll all tune in to the official Democratic and Spanish-language responses from my friends Stacey Abrams and California Attorney General Xavier Becerra.	https://votesmart.org/public-statement/1321729/senator-harris-before-state-of-the-union-the-american-people-are-spirited-resourceful-and-resilient&speechType=6	National Security Executive Branch Government Operations Trade Immigration		Washington, DC	https://www.harris.senate.gov/news/press-releases/senator-harris-before-state-of-the-union-the-american-people-are-spirited-resourceful-and-resilient
VSKH1322019126	Kamala Harris	2019-02-13	Harris Applauds Senate Passage of Bill to Strengthen Partnerships Between HBCUs and Federal Agencies	statement	"Yesterday, the U.S. Senate passed the HBCU Propelling Agency Relationships Towards a New Era of Results for Students (HBCU PARTNERS) Act, bipartisan legislation co-sponsored by U.S. Senator Kamala D. Harris (D-CA) to strengthen partnerships between federal agencies and the country's more than 100 Historically Black Colleges and Universities (HBCUs) by requiring federal agencies with relevant grants and programs to undertake annual planning and coordinate their efforts to support and expand HBCU participation those programs. ""Our nation's HBCUs are absolutely essential to preparing Black students for the jobs and challenges of the 21st century, and we must ensure that they have the resources they need to continue that mission,"" said Harris. ""I'm thrilled that the United States Senate has passed this legislation to ensure the federal government is working hand in hand with HBCUs to keep them strong."" The HBCU Propelling Agency Relationships Towards a New Era of Results for Students (HBCU PARTNERS) Act also strengthens the rigor and transparency requirements of existing law by requiring that agencies track their progress toward past goals and share their plans with Congress. In addition, it codifies the President's Board of Advisors on HBCUs, ensuring an ongoing avenue for the institutions' priorities and policy concerns to be raised. Yesterday, the U.S. Senate also passed Senator Harris' bipartisan bill to reauthorize the HBCU Historic Preservation Program, which would authorize funding for grants to restore historic buildings and sites on HBCU campuses that have deteriorated over time. Many buildings and sites at HBCU campuses across the country are over 100 years old and are at risk of being permanently lost if they are not preserved and protected. In addition to Senator Harris, the HBCU PARTNERS Act is co-sponsored U.S. Senators Chris Coons (D-DE), Tim Scott (R-SC), Doug Jones (D-AL), David Perdue (R-GA), Roger Wicker (R-MS), Tim Kaine (D-VA), Marsha Blackburn (R-TN), Chris Van Hollen (D-MD), Cindy Hyde-Smith (R-MS), Cory Booker (D-NJ), Thom Tillis (R-NC), Amy Klobuchar (D-MN), Elizabeth Warren (D-MA), Bernie Sanders (I-VT), and Mike Braun (R-IN). A companion bill is led in the House by U.S. Representatives Mark Walker (NC-06) and Alma Adams (NC-12)."	https://votesmart.org/public-statement/1330813/harris-applauds-senate-passage-of-bill-to-strengthen-partnerships-between-hbcus-and-federal-agencies&speechType=6	Civil Liberties and Civil Rights Higher Education		Washington, DC	https://www.harris.senate.gov/news/press-releases/harris-applauds-senate-passage-of-bill-to-strengthen-partnerships-between-hbcus-and-federal-agencies
VSKH1422019125	Kamala Harris	2019-02-14	Senator Harris Statement on President's Expected Declaration of a National Emergency	statement	"Today, in response to the president's expected declaration of a national emergency in order to circumvent the authority of Congress and begin construction of a border wall, U.S. Senator Kamala D. Harris (D-CA) released the following statement: ""This is ridiculous. I have opposed every effort to build the wall because the American people should not have to pay for the president's vanity project. We don't need it."""	https://votesmart.org/public-statement/1330817/senator-harris-statement-on-presidents-expected-declaration-of-a-national-emergency&speechType=6	National Security Executive Branch		Washington, DC	https://www.harris.senate.gov/news/press-releases/senator-harris-statement-on-presidents-expected-declaration-of-a-national-emergency
VSKH2122019124	Kamala Harris	2019-02-21	Harris Statement on Administration Backing Away from Negotiations Over Clean Car Standards	statement	"U.S. Senator Kamala D. Harris (D-CA) released the following statement today after the Trump administration announced an end to negotiations with California over federal fuel economy standards and the state's ability to set its own tailpipe emissions standards: ""Every American deserves the ability to breathe clean air and drink clean water. California has long led the nation in setting emissions standards that will improve air quality, combat climate change, and reduce our reliance on fossil fuels. I am disappointed that the administration has walked away from negotiations with California over how best to preserve current fuel economy and emissions standards. The administration's decision follows a troubling pattern of targeting the state of California for political purposes. I will continue to fight for California's ability to set its own stringent emissions standards that will clean our air and preserve our environment for future generations."""	https://votesmart.org/public-statement/1330824/harris-statement-on-administration-backing-away-from-negotiations-over-clean-car-standards&speechType=6	Environment		Washington, DC	https://www.harris.senate.gov/news/press-releases/harris-statement-on-administration-backing-away-from-negotiations-over-clean-car-standards
VSKH2622019123	Kamala Harris	2019-02-26	Harris Statement on House Resolution Opposing President's National Emergency Declaration	statement	"U.S. Senator Kamala D. Harris (D-CA) released the following statement today after the House passed a resolution opposing the president's national emergency declaration: ""I applaud my colleagues in the House for voting to overturn the president's efforts to declare a fake emergency and circumvent Congress to jam through his ineffective border wall. Dozens of national security experts, both Republicans and Democrats, say there is no factual basis for an emergency declaration and the president himself confessed he didn't need to do it. I urge my Senate colleagues to pass this measure to make it crystal clear that the American people will not pay for this wall, period."""	https://votesmart.org/public-statement/1330825/harris-statement-on-house-resolution-opposing-presidents-national-emergency-declaration&speechType=6	National Security Executive Branch		Washington, DC	https://www.harris.senate.gov/news/press-releases/harris-statement-on-house-resolution-opposing-presidents-national-emergency-declaration
VSKH2822019122	Kamala Harris	2019-02-28	Harris Reintroduces Legislation to Protect Civil Rights of All Americans	statement	"Today, U.S. Senator Kamala D. Harris reintroduced the Do No Harm Act, legislation to amend the Religious Freedom Restoration Act (RFRA) to ensure that the law can no longer be invoked to threaten fundamental civil and legal rights. Since its 1993 inception, RFRA has been used to discriminate against and harm others, including LGBTQ individuals, women, and children. Companion legislation will also be reintroduced today in the House by Representatives Joe Kennedy (D-MA) and Bobby Scott (D-VA). ""The freedom to worship is one of our nation's most fundamental rights. That First Amendment guarantee should never be used to undermine other Americans' civil rights or subject them to discrimination on the basis of race, gender, sexual orientation, or gender identity,"" said Harris. ""I'm proud to reintroduce the Do No Harm Act to more comprehensively protect the basic rights of every American."" In 1993, Congress passed the Religious Freedom Restoration Act in response to a Supreme Court case undermining the rights of religious minorities. But since its passage, twenty-one states have passed state RFRAs, and the laws have been used to defend employment discrimination against LGBTQ individuals, deny health care coverage for employees, claim exemptions to civil rights law, and complicate justice in child labor and abuse cases. The Do No Harm Act would prevent the RFRA law from being used to deny: Protection against discrimination laws or the promotion of equal opportunity, including the Civil Rights Act of 1964 and other laws;Workplace protections or protections against child abuse;Healthcare access, information, referrals, provisions, coverage or services to which persons are otherwise legally entitled;Services that the government has contracted to be provided to beneficiaries through a government contract, grant, or cooperative agreement; andAccommodations or other benefits and services provided by the government. In addition to Harris, the bill is co-sponsored by Senators Tammy Baldwin (D-WI), Richard Blumenthal (D-CT), Cory Booker (D-NJ), Sherrod Brown (D-OH), Ben Cardin (D-MD), Tom Carper (D-DE), Catherine Cortez Masto (D-NV), Tammy Duckworth (D-IL), Dick Durbin (D-IL), Dianne Feinstein (D-CA), Maggie Hassan (D-NH), Mazie Hirono (D-HI), Amy Klobuchar (D-MN), Patrick Leahy (D-VT), Ed Markey (D-MA), Robert Menendez (D-NJ), Jeff Merkley (D-OR), Patty Murray (D-WA), Chris Murphy (D-CT), Jack Reed (D-RI), Jacky Rosen (D-NV), Tina Smith (D-MN), Elizabeth Warren (D-MA), and Ron Wyden (D-OR). The Do No Harm Act is supported by a broad coalition of LGBTQ, civil rights, women's rights, and faith groups. For a full list of supportive organizations, click here. For full bill text, click here."	https://votesmart.org/public-statement/1330829/harris-reintroduces-legislation-to-protect-civil-rights-of-all-americans&speechType=6	Civil Liberties and Civil Rights Sexual Orientation and Gender Identity		Washington, DC	https://www.harris.senate.gov/news/press-releases/harris-reintroduces-legislation-to-protect-civil-rights-of-all-americans
VSKH632019121	Kamala Harris	2019-03-06	Harris Joins Colleagues to Reintroduce Bill to Stop Trump Administration from Detaining and Shackling Pregnant Wom ...	statement	"Yesterday, U.S. Senator Kamala D. Harris (D-CA) joined her colleagues to reintroduce the Stop Shackling and Detaining Pregnant Women Act. The legislation would protect the health and safety of pregnant women and youth by reinstituting the presumption of release of pregnant women and youth in immigration detention, further prohibiting the U.S. Department of Homeland Security (DHS) from shackling pregnant women in its custody, and setting new standards of care and transparency for the treatment of pregnant women and youth. The bill was first introduced last summer in light of reports of mistreatment of pregnant women in U.S. Immigration and Customs Enforcement (ICE) custody, and was reintroduced on the heels of a recent Washington Post report about a women in ICE custody whose pregnancy ended in a stillbirth after she went into labor prematurely. ""Detaining pregnant women in poor conditions doesn't make our country safer, it's cruel and immoral,"" said Harris. ""I am committed to ensuring that children and pregnant mothers at the border receive proper medical care and will continue to fight for their human rights."" Along with Senator Harris, the legislation is cosponsored by Senator Patty Murray (D-WA), Senator Tammy Baldwin (D-WI), Senator Richard Blumenthal (D-CT), Senator Cory Booker (D-NJ), Senator Tom Carper (D-DE), Senator Bob Casey (D-PA), Senator Chris Coons (D-DE), Senator Catherine Cortez Masto (D-NV), Senator Tammy Duckworth (D-IL), Senator Dick Durbin (D-IL), Senator Dianne Feinstein (D-CA), Senator Kirsten Gillibrand (D-NY), Senator Mazie Hirono (D-HI), Senator Amy Klobuchar (D-MN), Senator Patrick Leahy (D-VT), Senator Ed Markey (D-MA), Senator Bob Menendez (D-NJ), Senator Chris Murphy (D-CT), Senator Jack Reed (D-RI), Senator Bernie Sanders (I-VT), Senator Tina Smith (D-MN), Senator Tom Udall (D-NM), Senator Elizabeth Warren (D-MA), and Senator Ron Wyden (D-OR). The Stop Shackling and Detaining Pregnant Women Act has been endorsed by the American Civil Liberties Union, American College of Obstetricians and Gynecologists, Women's Refugee Commission, National Latina Institute for Reproductive Health, Planned Parenthood Federation of America, NARAL Pro-Choice America, The Center for Reproductive Rights, National Asian Pacific American Women's Forum, Human Rights Watch, Church World Service, MomsRising, Amnesty International, Anti-Defamation League, March of Dimes, National Council of Jewish Women, Inc, and the National Women's Law Center."	https://votesmart.org/public-statement/1330836/harris-joins-colleagues-to-reintroduce-bill-to-stop-trump-administration-from-detaining-and-shackling-pregnant-women&speechType=6	Immigration Reproduction		Washington, DC	https://www.harris.senate.gov/news/press-releases/harris-joins-colleagues-to-reintroduce-bill-to-stop-trump-administration-from-detaining-and-shackling-pregnant-women
VSKH732019120	Kamala Harris	2019-03-07	Harris, Clarke Reintroduce Legislation to Commission Statue Honoring U.S. Representative Shirley Chisholm	statement	"Today, U.S. Senator Kamala D. Harris (D-CA) reintroduced a bill directing Congress to commission a statue of former U.S. Representative Shirley Chisholm to be displayed in the United States Capitol. Currently, there are four statues and busts in the United State Capitol representing African-Americans, including Rosa Parks, Frederick Douglass, Martin Luther King, Jr., and Sojourner Truth. Companion legislation will also be introduced today in the House of Representatives by Rep. Yvette Clarke (D-NY). ""For the first time in history, there are more than 20 Black women serving in the United State Congress, and we all stand on the shoulders of Shirley Chisholm,"" said Senator Harris. ""Shirley's legacy inspires us to continue our fight to give a voice to the voiceless and pursue justice and equality for every American. Her legacy deserves to stand tall in the United States Capitol."" ""Shirley Chisholm used the authority of her experience to create nutrition assistance programs, expand health care services for parents and children, increase the minimum wage, support the veterans of our Armed Forces, and provide opportunities for women in college, graduate school, and collegiate and professional sports with the enactment of Title IX,"" said Congresswoman Clarke. ""For this and countless other reasons, Congress should honor Chisholm's life and living legacy and her contribution to advancing civil and human rights by among other defining figures in our nation's history."" A native of New York, Chisholm served in the New York State Assembly before she was the first Black woman to be elected to the United States Congress. Chisholm was also a founding member of the Congressional Black Caucus and the first Black woman to seek a major party's nomination for president. In addition to Harris, the bill is cosponsored by Senate Minority Chuck Schumer (D-NY) and Senators Ed Markey (D-MA), Richard Blumenthal (D-CT), Chris Coons (D-CT), Mazie Hirono (D-HI), Tina Smith (D-MN), Tim Kaine (D-VA), Dick Durbin (D-IL), Ron Wyden (D-OR), Cory Booker (D-NJ), Bernie Sanders (I-VT), Elizabeth Warren (D-MA), Tammy Duckworth (D-IL), Amy Klobuchar (D-MN), Sherrod Brown (D-OH), and Patty Murray (D-WA). For full bill text, click here."	https://votesmart.org/public-statement/1330838/harris-clarke-reintroduce-legislation-to-commission-statue-honoring-us-representative-shirley-chisholm&speechType=6	Civil Liberties and Civil Rights Arts, Entertainment, and History		Washington, DC	https://www.harris.senate.gov/news/press-releases/harris-clarke-reintroduce-legislation-to-commission-statue-honoring-us-representative-shirley-chisholm
VSKH1232019119	Kamala Harris	2019-03-12	Harris Legislation Signed into Law as Part of Public Lands Package	statement	"Today, two pieces of legislation authored by U.S. Senator Kamala D. Harris (D-CA) were signed into law as part of the Natural Resources Management Act, as well as a permanent reauthorization of the Land and Water Conservation Fund (LWCF). The LWCF supports projects across California that preserve the state's wildlife, protect Californians' access to clean air and clean water, and fuel California's $92 billion outdoor recreation economy, the largest in the nation. ""I'm thrilled that my legislation to preserve historic HBCU buildings and to establish a memorial to the lives lost in the 1928 St. Francis Dam disaster have been signed into law along with a permanent reauthorization for the Land and Water Conservation Fund,"" said Harris. ""This legislation improves the stability of our nation's infrastructure and the health of our environment while also ensuring that we honor and remember the past."" Senator Harris' bipartisan bill to reauthorize the Historically Black College and Universities (HBCU) Historic Preservation Program for fiscal years 2019 to 2025 was included into the lands package and signed into law. Across more than 100 HBCUs around the country, historic buildings and sites, some more than 100 years old, have deteriorated over time and are at risk of being permanently lost if they are not preserved and protected. Senator Harris' legislation will authorize funding for grants to restore these historic buildings and sites, as well as improve accessibility on many HBCU campuses. Also included in the package and signed into law was another Harris-led bill, the St. Francis Dam Disaster National Memorial Act, which will establish a national memorial to honor the over 400 Californians lost in the 1928 St. Francis Dam disaster, which occurred 91 years ago today. It will stand as a reminder of the continued need for strong and stable infrastructure."	https://votesmart.org/public-statement/1330845/harris-legislation-signed-into-law-as-part-of-public-lands-package&speechType=6	Civil Liberties and Civil Rights Higher Education Natural Resources		Washington, DC	https://www.harris.senate.gov/news/press-releases/harris-legislation-signed-into-law-as-part-of-public-lands-package
