,words
0,a
1,about
2,above
3,after
4,again
5,against
6,ain
7,all
8,also
9,am
10,an
11,and
12,another
13,any
14,are
15,aren
16,arent
17,as
18,at
19,back
20,be
21,because
22,been
23,before
24,being
25,below
26,between
27,both
28,but
29,by
30,can
31,cannot
32,cant
33,could
34,couldn
35,couldnt
36,d
37,darent
38,did
39,didn
40,didnt
41,do
42,does
43,doesn
44,doesnt
45,doing
46,don
47,dont
48,down
49,during
50,each
51,even
52,ever
53,every
54,few
55,first
56,five
57,for
58,four
59,from
60,further
61,get
62,go
63,goes
64,had
65,hadn
66,hadnt
67,has
68,hasn
69,hasnt
70,have
71,haven
72,havent
73,having
74,he
75,hed
76,hell
77,her
78,here
79,heres
80,hers
81,herself
82,hes
83,high
84,him
85,himself
86,his
87,how
88,however
89,hows
90,i
91,id
92,if
93,ill
94,im
95,in
96,into
97,is
98,isn
99,isnt
100,it
101,its
102,itself
103,ive
104,just
105,least
106,less
107,lets
108,like
109,ll
110,long
111,m
112,ma
113,made
114,make
115,many
116,may
117,me
118,might
119,mightn
120,mightnt
121,more
122,most
123,must
124,mustn
125,mustnt
126,my
127,myself
128,needn
129,neednt
130,never
131,new
132,no
133,nor
134,not
135,now
136,o
137,of
138,off
139,old
140,on
141,once
142,one
143,only
144,or
145,other
146,ought
147,oughtnt
148,our
149,ours
150,ourselves
151,out
152,over
153,own
154,put
155,re
156,s
157,said
158,same
159,say
160,says
161,second
162,see
163,seen
164,shall
165,shan
166,shant
167,she
168,shed
169,shell
170,shes
171,should
172,shouldn
173,shouldnt
174,shouldve
175,since
176,so
177,some
178,still
179,such
180,t
181,take
182,than
183,that
184,thatll
185,thats
186,the
187,their
188,theirs
189,them
190,themselves
191,then
192,there
193,theres
194,these
195,they
196,theyd
197,theyll
198,theyre
199,theyve
200,this
201,those
202,three
203,through
204,to
205,too
206,two
207,under
208,until
209,up
210,ve
211,very
212,was
213,wasn
214,wasnt
215,way
216,we
217,wed
218,well
219,were
220,weren
221,werent
222,weve
223,what
224,whats
225,when
226,whens
227,where
228,wheres
229,whether
230,which
231,while
232,who
233,whom
234,whos
235,why
236,whys
237,will
238,with
239,won
240,wont
241,would
242,wouldn
243,wouldnt
244,y
245,you
246,youd
247,youll
248,your
249,youre
250,yours
251,yourself
252,yourselves
253,youve
