,words
0,aaland islands
1,sani  abacha
2,ferhat  abbas
3,mahmoud  abbas
4,tony  abbott
5,ibrahim  abboud
6,abd al-aziz al-saud
7,abd al-ilah ibn ali ibn hussein
8,abd el-krim
9,abdication crisis
10,abdullah bin-abd-al-aziz al-saud
11,abdullah ibn hussein
12,abdullah ii ibn al hussein
13,tunku  abdul rahman putra al-haj
14,abe shinzō
15,moshood kashimawo olawale  abiola
16,abkhazia
17,aborigines and torres strait islanders
18,abortion
19,abu dhabi
20,abyssinian war
21,dean gooderham  acheson
22,action française
23,ladislav  adamec
24,gerard  adams
25,sir grantley herbert  adams
26,jane laura  addams
27,konrad  adenauer
28,affirmative action
29,afghanistan
30,afl
31,michel  aflaq
32,african national congress
33,african union
34,afrikaner
35,afrikanerbond
36,agadir
37,spiro  agnew
38,emilio  aguinaldo
39,bartholomew patrick   ahern
40,ahmadou  ahidjo
41,mahmoud  ahmadinejad
42,martti  ahtisaari
43,aids
44,airships
45,william maxwell aitken
46,askar  akayev
47,akihito
48,haider  al-abadi
49,bashar  al-assad
50,hafez  al-assad
51,ismail  al-azhari
52,omar hassan ahmad  al-bashir
53,al-fatah
54,hussein bin‐talal al-hashimi
55,al-mussavi ruhollah al-khomeini
56,muammar muhammad al-qadhafi
57,al-qaeda
58,musa  al-sadr
59,qaboos bin said  al-said
60,abd al-aziz al-saud
61,1st viscount   alan francis brooke alanbrooke of brookeborough
62,albania
63,carl bert  albert
64,niceto  alcalá zamora y torres
65,nelson wilmarth  aldrich
66,miguel  alemán valdés
67,arturo  alessandri
68,jorge  alessandri rodríguez
69,alexander i
70,raúl ricardo  alfonsín
71,alfonso xiii
72,conference of  algeciras
73,alger hiss trials
74,algeria
75,algerian war of independence
76,algiers agreement
77,ramiz  alia
78,heydar aliyevich  aliyev
79,salvador  allende gossens
80,alliance
81,alliance for progress
82,allied powers
83,alsace-lorraine
84,alternative für deutschland
85,alto adige
86,bhimrao ramji  ambedkar
87,america first committee
88,american federation of labor
89,american indian movement
90,american indians
91,american popular revolutionary alliance
92,american samoa
93,american virgin islands
94,idi  amin
95,amnesty international
96,amritsar massacres
97,treaty of  amsterdam
98,amur river society
99,anarchism
100,anarcho-syndicalism
101,anc
102,andean community
103,john  anderson
104,john bayard  anderson
105,andorra
106,giulio  andreotti
107,yuri vladimirovich  andropov
108,anglican communion
109,anglo-irish agreement
110,anglo-japanese alliance
111,anglo-russian entente
112,angola
113,anguilla
114,kofi  annan
115,anschluss
116,józsef  ántáll
117,antarctica
118,anti-ballistic missile treaty
119,anti-comintern pact
120,anti-party group
121,anti-semitism
122,anticlericalism
123,antigua and barbuda
124,ion  antonescu
125,anzac
126,anzus
127,aotearoa
128,apartheid
129,apollo program
130,appeasement
131,apra
132,benigno  aquino
133,corazón maría  aquino
