,words
0,1992
1,a-share
2,aaa rating
3,abatement
4,abatement cost
5,ability and earnings
6,ability to pay
7,abnormal obsolescence
8,abnormal profit
9,absolute advantage
10,absorption
11,abstinence
12,abuse of dominant position
13,accelerated depreciation
14,accelerator
15,acceptance
16,acceptance region
17,accepting house
18,accession criteria
19,accommodatory monetary policy
20,account
21,accounting
22,accounting period
23,accounting profit
24,accounts payable
25,accounts receivable
26,accrual rate
27,acquisition()
28,acquisitions approach
29,active labour market policies
30,actuarial assumption
31,actuarially fair odds
32,actuary
33,adaptation
34,adaptive expectations
35,adjustable long-term putable security
36,adjustable peg
37,adjusted r-squared
38,adjustment
39,adjustment costs
40,adjustment programme
41,administered price
42,administration
43,adoption
44,ad valorem tax
45,advance corporation tax
46,advanced economies
47,advances
48,advantage
49,adverse selection
50,adverse supply shock
51,advertising
52,conciliation and arbitration service advisory
53,affirmative action
54,after-sales service
55,after-tax income
56,age-dependency ratio
57,age-earnings profile
58,agency cost
59,agency problem
60,agency theory
61,agent-based modelling
62,agglomeration economies
63,aggregate data
64,aggregate demand
65,aggregate demand schedule
66,aggregate production function
67,aggregate supply
68,aggregation
69,aggregation problem
70,agricultural protection
71,agroecosystem
72,aid
73,aid-in-kind
74,aid to families with dependent children
75,aitken estimator
76,allais paradox
77,almon distributed lag
78,almost sure convergence
79,alpha stocks
80,altruism
81,amalgamation
82,ambiguity
83,ambiguity rule
84,american economic association
85,american federation of labor and congress of industrial organizations
86,amortization
87,analysis of variance
88,animal spirits
89,announcement effect
90,annual general meeting
91,annualized growth rate
92,annualized percentage rate of interest
93,annual population survey
94,annual report and accounts
95,annuity
96,annuity factor
97,annuity rate
98,anomalies
99,anti-competitive practice
100,anti-dumping action
101,anti-dumping duty
102,anti-pollution measures
103,anticipated inflation
104,antitrust
105,applied microeconomics
106,apprenticeship
107,appropriation account
108,appropriation bill
109,a priori
110,arbitrage
111,arbitrage pricing theory
112,arbitrageur
113,arbitration
114,arc elasticity
115,arm’s-length price
116,arrears
117,arrow’s impossibility theorem
118,arrow–debreu economy
119,arrow–debreu state price
120,asia-pacific economic cooperation
121,asian crisis
122,asian infrastructure development bank
123,assembly line
124,asset-backed security
125,asset-stripping
126,asset motive
127,asset prices
128,assets
129,assisted area
130,asymmetric information
131,asymmetric shocks
132,asymptotic distribution
133,asymptotic theory
134,atkinson index
135,auction
136,auctioneer
137,audit
138,auditor
139,augmented dickey-fuller
140,augmented phillips curve
141,austerity measures
142,autarchy
143,authorized capital
144,autocorrelation
145,autocorrelation coefficient
146,autocorrelation function
147,autocovariance
148,autocovariance function
149,automated econometrics
150,automatic stabilizers
151,automation
152,autonomous consumption
153,autonomous investment
154,autonomous pension funds
155,autoregressive conditional heteroscedasticity
156,autoregressive integrated moving average  model
157,autoregressive moving average  model
158,autoregressive process
159,average cost
160,average cost pricing
161,average earnings scheme
162,average tax rate
163,averch-johnson effect
164,avoidable cost
165,avoidance
166,axiom
167,axioms of preference
168,backdoor
169,backward-bending supply curve
170,backwardation
171,backward induction
172,backward integration
173,bad bank
174,bad debt
175,bad debt provision
176,‘bad money drives out good’
177,balance
178,balance-of-payments crisis
179,balanced budget
180,balanced budget amendment
181,balanced budget multiplier
182,balanced growth path
183,balance of payments
184,balance of trade
185,balance sheet
186,balances with the bank of england
187,balancing item
188,baltic free trade agreement
189,banco del sur
190,bandwidth
191,bank
192,bank account
193,bank deposit
194,banker’s draft
195,bankers automated credit system
196,bank for international settlements
197,banking
198,banking system
199,bank loan
200,bank note
201,bank of credit and commerce international
202,bank of england
203,bank rate
204,bank regulation
205,bank run
206,bankruptcy
207,bargaining
208,bargaining power
209,barriers to entry
210,barriers to exit
211,barter
212,barter economy
213,base-weighted index
214,base erosion and profit shifting
215,basel agreement
216,basel ii
217,baseline
218,base money
219,base period
220,base rate
221,basic rate
222,basis point
223,batch production
224,battle of the sexes
225,baumol’s law
226,bayesian econometrics
227,bayesian inference
228,bayes theorem
229,bbb
230,bear
231,bearer bond
232,bear market
233,before-tax income
234,beggar-my-neighbour policy
235,behavioural economics
236,behavioural equation
237,behavioural insights team
238,behavioural theories of the firm
239,below-the-line
240,benefit
241,benefit principle
242,benefits in kind
243,benefits system
244,benelux
245,bergson–samuelson social welfare function
246,bertrand competition
247,best-fit line
248,best linear unbiased estimator
249,beta coefficient
250,beta stocks
251,between-groups estimator
252,beveridge curve
253,beveridge report
254,bias of an estimator
255,bid
256,bid–ask spread
257,big bang
258,big four
259,big mac index
260,big push
261,big society
262,bilateral monopoly
263,bilateral trade
264,bill
265,billion
266,bill of exchange
267,bimodal distribution
268,binary choice models
269,binomial distribution
270,binomial pricing
271,biodiversity index
272,biological interest rate
273,black–scholes equation
274,black economy
275,black market
276,black monday
277,black swan
278,blair house agreement
279,blue book
280,blue chip
281,blue collar worker
282,board of directors
283,bolivarian alliance for the peoples of our america
284,bombay stock exchange
285,bond
286,bond-rating agency
287,bond default swap
288,bonus
289,bonus issue
290,book value
291,boom
292,bootstrap
293,borda count
294,borrowing
295,bottleneck
296,bottom line
297,bounded rationality
298,box–cox transformation
299,box–jenkins approach
300,boycott
301,bp curve
302,brady plan
303,brain drain
304,branch banking
305,brand
306,brand loyalty
307,brand recognition
308,brandt report
309,break-even
310,break-up value
311,breitung test
312,bretton woods
313,breusch–pagan test
314,brics
315,british household panel survey
316,broad money
317,broker
318,brokerage
319,brownian motion
320,bubble
321,budget
322,budget constraint
323,budget deficit
324,budget line
325,budget surplus
326,budget year
327,buffer stock
328,building and loan association
329,building society
330,built-in stabilizers
331,bull
332,bullion
333,bull market
334,bundesbank
335,bundle of goods
336,bundling
337,burden
338,bureau of economic analysis
339,business
340,business cycle
341,business ethics
342,business expansion scheme
343,business rate
344,buy-out
345,buyer
346,buyer’s market
347,buyer concentration
348,by-product
349,bygones
350,c.i.f.
351,cabotage
352,cairns group
353,calendar effects
354,calibration
355,call money
356,call option
357,calvo contract
358,cambridge equation
359,cannibalization
360,cap
361,capacity
362,capacity utilization
363,capital
364,capital-augmenting technical progress
365,capital–labour ratio
366,capital–output ratio
367,capital account
368,capital accumulation
369,capital adequacy
370,capital allowances
371,capital appreciation
372,capital asset pricing model
373,capital consumption
374,capital deepening
375,capital expenditure
376,capital flight
377,capital formation
378,capital gain
379,capital gains tax
380,capital gearing
381,capital goods
382,capital inflow
383,capital injections
384,capital intensity
385,capitalism
386,capital issues
387,capitalist
388,capital levy
389,capital loss
390,capital market
391,capital mobility
392,capital movements
393,capital outflow
394,capital ratio
395,capital reserves
396,capital stock
397,capital stock adjustment
398,capital tax
399,capital transfers
400,capital transfer tax
401,capital widening
402,capitulation
403,capm
404,carbon footprint
405,carbon leakage
406,carbon sequestration
407,carbon sink
408,carbon tax
409,cardinal utility
410,career average scheme
411,carry forward losses
412,carry trade
413,cartel
414,cascade tax
415,cash
416,cash discount
417,cash flow
418,cashless economy
419,cash limits
420,cash ratio
421,catastrophic loss
422,catch-up
423,categorical variable
424,causality()
425,caveat emptor
426,cecchini report
427,ceiling
428,ceiling price
429,censored sample
430,census
431,census of production
432,central bank
433,central bank independence
434,central bank of the republic of china
435,central european free trade agreement
436,central government
437,central limit theorems
438,central planning
439,central statistical office
440,certainty equivalent
441,certificate of origin
442,ces
443,cet
444,ceteris paribus
445,cgt
446,chain price index
447,chairman
448,chancellor of the exchequer
449,chaos theory
450,chapter 11 bankruptcy
451,13 chapters 12
452,characteristics theory
453,chartist
454,cheap money
455,checking account
456,cheque
457,chi-square distribution
458,chicago board of trade
459,chicago boys
460,chicago mercantile exchange
461,chicago school
462,chicken
463,chief executive
464,child benefit
465,child tax credit
466,china development bank
467,chinese economic reform
468,chinese walls
469,chlorofluorocarbons
470,choice of technique
471,chow test
472,circular flow of income
473,cites
474,citizen candidate
475,city
476,city code
477,claimant
478,classical dichotomy
479,classical economics
480,classical model
481,classical unemployment
482,clayton act
483,clean air act
484,clean floating exchange rate
485,clean technology
486,clearing
487,clearing-house
488,clearing bank
489,climate change
490,cliometrics
491,close company
492,closed-loop equilibrium
493,closed economy
494,closed shop
495,closing prices
496,club
497,club of rome
498,cluster analysis
499,clustering
500,cme group
501,co-insurance
502,coalition
503,coase theorem
504,cobb–douglas function
505,cobweb
506,cochrane–orcutt procedure
507,coefficient of determination
508,coefficient of variation
509,cohort study
510,coin
511,coincidence of wants
512,cointegration
513,collateral
514,collateralized debt obligation
515,collective bargaining
516,collective choice
517,collector of taxes
518,collinearity
519,collusion
520,colombo plan
521,command economy
522,commercial bank
523,commercial bill
524,commercial paper
525,commercial policy
526,commercial presence
527,commission
528,commitment
529,committee on payments and market infrastructure
530,commodity
531,commodity agreement
532,commodity credit corporation
533,commodity exchange
534,commodity market
535,commodity price index
536,common access resource
537,common agricultural policy
538,common external tariff
539,common knowledge
540,common market
541,commons
542,common stock
543,commonwealth
544,communism
545,community charge
546,community indifference curve
547,company
548,company director
549,company law
550,company taxation
551,comparability
552,comparative advantage
553,comparative costs
554,comparative statics
555,compensated demand
556,compensating variation
557,compensating wage differential
558,compensation for externalities
559,compensation principle
560,competition
561,competition and markets authority
562,competition policy
563,competitive advantage
564,competitive devaluation
565,competitive economy
566,competitive equilibrium
567,competitive fringe
568,competitiveness
569,competitive tendering
570,complementarity
571,complementary goods
572,compliance costs
573,composite commodity
574,compound interest
575,computable general equilibrium model
576,computerized trading
577,concentration
578,concentration ratio
579,concentric merger
580,concert party
581,conciliation
582,conditional cost of living index
583,conditional distribution
584,conditionality
585,condorcet paradox
586,confederation of british industry
587,confidence interval
588,congestion
589,conglomerate
590,conglomerate merger
591,conjectural variation
592,conservative central banker
593,conservative social welfare function
594,consistent estimator
595,consolidated accounts
596,consols
597,consortium
598,conspicuous consumption
599,constant elasticity of substitution
600,constant prices
601,constant returns to scale
602,constrained optimum
603,constraint
604,consultant
605,consumer
606,consumer behaviour
607,consumer borrowing
608,consumer choice
609,consumer confidence
610,consumer credit
611,consumer debt
612,consumer durables
613,consumer expenditure
614,consumer expenditure survey
615,consumer goods
616,consumerism
617,consumer non-durables
618,consumer price index
619,consumer protection
620,consumer rationality
621,consumer sovereignty
622,consumer surplus
623,consumption
624,consumption externality
625,consumption function
626,consumption goods
627,consumption possibility line
628,consumption tax
629,contagion
630,contango
631,contemporaneous correlation
632,contestable market
633,contingent asset
634,contingent commodity
635,contingent fee
636,contingent liability
637,contingent market
638,contingent protection
639,contingent valuation
640,continuous compounding
641,continuous distribution
642,continuous random variable
643,continuous time
644,continuous time process
645,contract
646,contract curve
647,contracted-out()
648,contract of employment
649,contract theory
650,contractual savings
651,contributory pension scheme
652,control()
653,control group
654,convention on biological diversity
655,convention on international trade in endangered species
656,convergence()
657,convergence criteria
658,convergence in distribution
659,convergence in mean squares
660,convergence in probability
661,convertibility
662,convertible currency
663,convertible debenture
664,convex preferences
665,cooperation
666,cooperative game
667,cooperative society
668,coordination failure
669,copyright
670,core
671,core inflation
672,corner()
673,corner solution
674,corporate equity
675,corporate governance
676,corporate income tax
677,corporate sector
678,corporate social responsibility
679,corporation
680,corporation tax
681,corporatism
682,correlation coefficient
683,corruption
684,corruption perception index
685,corset
686,cost
687,and freight  insurance cost
688,cost–benefit analysis
689,cost-effectiveness
690,cost-plus pricing
691,cost-push inflation
692,cost accounting
693,cost centre
694,cost curve
695,cost function
696,cost inflation
697,cost minimization
698,cost of capital
699,cost of living index
700,cost of protection
701,cost schedule
702,council for mutual economic assistance
703,council housing
704,council of economic advisers
705,council tax
706,counter-party
707,counter-party credit risk
708,counter-trade
709,counterfactual analysis
710,countervailing duty
711,countervailing power
712,coupon
713,cournot competition
714,cournot duopoly
715,covariance
716,covariance matrix
717,covariance stationary process
718,cover
719,covered interest parity
720,cowles foundation
721,cpi
722,crawling peg exchange rates
723,creative accounting
724,creative destruction
725,credibility
726,credible threat
727,credit
728,credit-rating agency
729,credit control
730,credit creation
731,credit crunch
732,credit cycle
733,credit default swap
734,creditor nation
735,creditors
736,credit rating
737,credit rationing
738,credit restriction
739,credit squeeze
740,credit standing
741,credit union
742,creditworthiness
743,creeping inflation
744,critical path analysis
745,critical value
746,cross-holding()
747,cross-price elasticity
748,cross-price elasticity of demand
749,cross-section data
750,cross-subsidization
751,crowding out
752,ctt
753,cum dividend
754,cumulative distribution function
755,cumulative preference share
756,currency
757,currency appreciation
758,currency depreciation
759,currency peg
760,currency reform
761,currency risk
762,currency swap
763,current  account
764,current-weighted index
765,current account
766,current account deficit
767,current account surplus
768,current assets
769,current liabilities
770,current population survey
771,current prices
772,curse of dimensionality
773,customs and excise
774,customs drawback
775,customs duty
776,customs union
777,cut-throat competition
778,cuts in expenditure
779,cycle
780,cyclical adjustment
781,cyclically adjusted budget deficit
782,cyclically adjusted psbr
783,cyclical unemployment
784,data mining
785,data smoothing
786,dawn raid
787,day-to-day money
788,ddd
789,dead cat bounce
790,deadweight burden of taxes
791,deadweight debt
792,deadweight loss
793,dealing
794,dear money
795,death duties
796,debenture
797,debt
798,debt-collection agency
799,debt burden
800,debt crisis
801,debt deflation
802,debt for equity
803,debt management
804,debt neutrality
805,debtors
806,debt relief
807,debt rescheduling
808,debt service
809,debt service ratio
810,decentralization
811,decile
812,decision theory
813,decision tree
814,decreasing balance depreciation
815,decreasing returns to scale
816,deductibility
817,deductibles
818,default
819,defence spending
820,deferred share
821,deficiency payment
822,deficit
823,defined benefit
824,defined contribution
825,deflation
826,deflationary gap
827,deflator
828,degrees of freedom
829,deindustrialization
830,deintellectualization
831,delors report
832,demand
833,demand-deficiency unemployment
834,demand-determined output
835,demand-pull inflation
836,demand curve
837,demand for money
838,demand function
839,demand inflation
840,demand management
841,demand schedule
842,demarcation
843,demographic transition
844,demographic unemployment
845,demonetization
846,demutualization
847,energy and industrial strategy department for business
848,enterprise and regulatory reform department for business
849,innovation and skills department for business
850,dependency culture
851,dependency ratio
852,dependent variable
853,depletable resources
854,deposit
855,deposit account
