,words
0,adjudicate
1,adjustment of status
2,admissibility
3,admit-until date
4,advance parole
5,affidavit
6,affidavit of support
7,alien
8,alien registration number
9,appeal
10,asylum
11,automatic visa revalidation
12,beneficiary
13,biometrics
14,birth certificate
15,b-visa
16,case number
17,certificate of citizenship
18,certificate of naturalization
19,citizenship
20,citizenship test
21,citizenship status
22,conditional residence
23,continuous residence
24,consular electronic application center
25,consular processing
26,consulate
27,correspondence
28,customs and border protection
29,cut-off date
30,date for filing
31,deferred action for childhood arrivals
32,denial
33,department of homeland security
34,department of justice
35,department of state
36,derivative
37,discretion
38,domicile
39,dual intent
40,duplicate
41,duration of status
42,electronic system for travel authorization
43,embassy
44,emigrate
45,employment authorization
46,employment green card
47,escalate
48,exclude
49,expedite
50,expire
51,family preference immigrant
52,field office
53,fiancé visa
54,filing fee
55,final action date
56,foreign national
57,f-visa
58,gender
59,green card
60,h-1b visa
61,home residence requirement
62,i-130
63,i-485
64,i-797
65,i-94
66,immediate relative
67,immigrate
68,immigration
69,immigration benefit
70,immigration and customs enforcement
71,immigration and nationality act
72,immigration law
73,immigration status
74,inadmissibility
75,internal revenue service
76,interview
77,j-visa
78,joint sponsor
79,jurisdiction
80,k-1 visa
81,k-3 visa
82,labor certification
83,lawful permanent residence
84,l-1 visa
85,lockbox
86,maiden name
87,marriage-based green card
88,medical waiver
89,motion to reopen or reconsider
90,m-1 visa
91,national visa center
92,nationality
93,naturalization
94,naturalized citizen
95,nonimmigrant
96,nonresident alien
97,notarized
98,oath of allegiance
99,o-visa
100,optional practical training
101,overstay
102,parole
103,parole in place
104,permanent residence
105,petition
106,petitioner
107,physical presence
108,process
109,province
110,port of entry
111,poverty guidelines
112,priority date
113,processing time
114,public assistance
115,public charge rule
116,receipt
117,receipt number
118,reciprocity fee
119,reentry permit
120,refugee
121,regulation
122,reject
123,removal
124,reside 
125,residence
126,resident alien
127,retrogress
128,returning resident
129,returning resident visa
130,request for evidence
131,revoke 
132,sb-1 visa
133,service center
134,sponsor
135,spousal visa
136,stamp
137,standalone
138,status
139,stem
140,student and exchange visitor information system
141,student visa
142,supporting documents
143,temporary protected status
144,u.s. citizenship and immigration services
145,uscis number
146,visa
147,visa bulletin
148,visa number
149,visa status
150,visa waiver program
151,waive
152,withdrawal
153,work permit
