,words
0,a-number
1,alien registration number
2,alien number
3,abroad
4,accommodation
5,accredited representative
6,acquired citizenship
7,adjourn
8,adjournment
9,adjudicate
10,adjudication
11,adjustment of status
12,adjustment to immigrant status
13,admissibility
14,admission number
15,i-94 number
16,adopted decision
17,advance parole
18,affidavit
19,affidavit of support
20,agricultural worker
21,alien
22,amerasian
23,amerasian act
24,application support center
25,apprehension
26,arranged marriage
27,arrival-departure record
28,asylee
29,attorney of record
30,au pair program
31,authorized provider
32,beneficiary
33,bia
34,biometrics
35,blanket waiver
36,board of immigration appeals
37,bond
38,bond proceedings
39,border crosser
40,burden of proof
41,business nonimmigrant
42,cap-gap extension
43,carrier documentation
44,casual domestic employment
45,cbp
46,certificate of citizenship
47,certificate of eligibility for exchange visitor status
48,certificate of eligibility for nonimmigrant student status
49,certificate of naturalization
50,certificate of translation
51,cfr
52,child
53,civil surgeon
54,code of federal regulations
55,conditional resident
56,continuing approval
57,continuing denial
58,continuous residence
59,country of
60,crewman
61,cuban
62,haitian entrant
63,curricular practical training
64,cut-off date
65,daca
66,declaration under penalty of perjury
67,defensive asylum application
68,deferred action
69,deferred enforced departure
70,denial
71,department of homeland security
72,department of justice
73,department of labor
74,deportable noncitizen
75,deportation
76,derivative citizenship
77,derivatives
78,designated school official
79,dhs
80,directorates and program offices
81,disabilities
82,individuals with
83,disaster relief
84,discretion
85,discrimination
86,diversity
87,docket control
88,doj
89,dol
90,domestic worker
91,ds-2019
92,duration of status
93,e-verify
94,eb-5 immigrant investor
95,eeoc
96,employee
97,employer
98,employer sanctions
99,employment
100,employment authorization document
101,enrolled mous
102,eoir
103,equal employment opportunity commission
104,exchange visitor
105,executive action
106,executive office for immigration review
107,f-1 nonimmigrant student
108,female genital mutilation
109,cutting
110,field office
111,files control office
112,fiscal year
113,foia
114,forced marriage
115,foreign government official
116,foreign information media representative
117,foreign national
118,foreign state of chargeability
119,foreign student
120,freedom of information act
121,geographic area of chargeability
122,green card
123,hemispheric ceilings
124,hire
125,hiring sites
126,human trafficking
127,humanitarian parole
128,i-20
129,i-94
130,ice
131,ier
132,immediate relative
133,immigrant and employee rights section
134,immigration act of 1990
135,immigration and nationality act
136,immigration judge
137,immigration marriage fraud amendments of 1986
138,immigration reform and control act of 1986
139,immigration scams
140,ina
141,inadmissibility
142,inadmissible
143,individual
144,initial approval
145,initial denial
146,ins
147,intermittent
148,irca
149,irregular
150,irs
151,jurisdiction
152,l-1a nonimmigrant classification
153,labor certification
154,last name
155,lawful permanent resident
156,legalization dependents
157,legalized aliens
158,life
159,lodging
160,lpr
161,maiden name
162,mailing address
163,medical waiver
164,middle initial
165,migrant
166,nacara
167,naics
168,national of the united states
169,nato official
170,naturalization
171,naturalization certificate
172,next friend
173,noncitizen
174,nonimmigrant
175,nonpreference category
176,north american free trade agreement
177,notary public
178,number
179,numerical limit
180,nursing relief act of 1989
181,occupation
182,ombudsman
183,panama canal act immigrants
184,panel physician
185,parole
186,parole in place
187,parolee
188,pattern
189,practice
190,pay
191,per country limit
192,permanent resident
193,permanent resident alien
194,permanent resident card
195,person
196,petitioner
197,physical address
198,port of entry
199,practitioner
200,pre-inspection
201,precedent decision
202,preference system
203,principal designated school official
204,principal noncitizen
205,priority date
206,pro bono program
207,processing times
208,prosecutorial discretion
209,provisional waiver
210,qualified representative
211,re-entry permit
212,receipt number
213,recognized organization
214,record of proceedings
215,referral date confirmation
216,refugee
217,refugee approvals
218,refugee travel document
219,refugee-parolee
220,registry date
221,regulations
222,reject
223,remand
224,removal
225,remuneration
226,request for evidence
227,resettlement
228,resident alien
229,responsible officer 
230,alternate responsible officer
231,returning resident
232,rop
233,safe haven
234,service centers
235,special agricultural workers
236,special immigrant juveniles  status
237,special immigrants
238,special naturalization provisions
239,special situations
240,special student relief
241,specialty occupation
242,sponsor
243,sporadic
244,stateless
245,stowaway
246,student and exchange visitor information system
247,student and exchange visitor information system  id number
248,student and exchange visitor program
249,subject to the numerical limit
250,t nonimmigrant status
251,temporary protected status
252,temporary resident
253,temporary worker
254,tentative nonconfirmation
255,transit noncitizen
256,transit without visa
257,travel documents
258,u nonimmigrant status
259,u.s. citizenship and immigration services
260,u.s. customs and border protection
261,u.s. immigration and customs enforcement
262,u.s. territories
263,unauthorized practice of immigration law
264,united states
265,united states - canada free-trade agreement
266,uscis
267,uscis immigrant fee
268,uscis number
269,uscis online account number
270,visa
271,visa bulletin
272,visa lottery
273,visa retrogression
274,visa waiver program
275,voluntary departure
276,willful misrepresentation
277,withdrawal
