,words
0,act
1,adjourn
2,adjournment sine die
3,advice and consent
4,amendment
5,amendment in the nature of a substitute
6,amendment tree
7,appropriation
8,authorization
9,bill
10,budget authority
11,budget resolution
12,Calendar of Business
13,caucus
14,class
15,cloakroom
16,closed session
17,cloture
18,committee
19,committee amendment
20,committee print
21,committee report
22,companion bill or measure
23,concurrent resolution
24,conferees
25,conference committee
26,Congressional Record
27,continuing resolution
28,controlled time
29,enacted legislation
30,engrossed bill
31,enrolled bill
32,ex officio membership
33,executive business
34,Executive Calendar
35,executive communication
36,executive session
37,filibuster
38,fiscal year
39,floor
40,floor amendment
41,floor leader
42,floor manager
43,germane
44,hearing
45,hold
46,joint committee
47,joint explanatory statement
48,joint meeting
49,joint resolution
50,joint session
51,Journal of the Senate
52,lame duck session
53,layover
54,legislative day
55,legislative session
56,lie on the table
57,line-item veto
58,majority leader
59,markup
60,measure
61,minority leader
62,morning business
63,motion to instruct conferees
64,motion to proceed to consider
65,motion to reconsider
66,motion to table
67,nomination
68,original bill
69,oversight
70,parliamentarian
71,parliamentary inquiry
72,party conference
73,pocket veto
74,point of order
75,policy committees
76,president of the Senate
77,president pro tempore
78,presiding officer
79,private law
80,pro forma session
81,proxy voting
82,public law
83,question
84,quorum
85,ranking member
86,recess
87,reconciliation
88,referral
89,rider
90,roll call vote
91,NaN
92,secretary of the Senate
93,special committee
94,Senate Manual
95,senator
96,seniority
97,sergeant at arms
98,session
99,simple resolution
100,slip law
101,standing committee
102,star print
103,Statutes at Large
104,subcommittee
105,supplemental appropriation
106,unanimous consent
107,United States Code
108,veto
109,veto override
110,vice president
111,voice vote
112,whip
113,yeas and nays
114,yield
